蜂窝通信网络名称（字符型）,通信技术（字符型）,传输速度（字符型）,通信距离（字符型）,成本（字符型）,应用领域（字符型）,采集来源,来源链接,采集时间,备注
NB-IoT,LPWA,250 kbps,最长10公里,低,智慧城市、智能表计,华为,https://www.huawei.com/,,
4G LTE,4G,100 Mbps,最长20公里,中,视频流服务、在线游戏,中国联通,https://www.chinaunicom.com/,,
5G NR,5G,10 Gbps,最长500米,高,增强现实、自动驾驶,爱立信,https://www.ericsson.com/,,
TD-SCDMA,3G,2 Mbps,最长5公里,中,移动电话服务、互联网接入,中国科学技术协会,http://www.cast.org.cn/,,
LTE-Advanced,4.5G,300 Mbps,最长35公里,高,高清视频通话、快递追踪,GSMA,https://www.gsma.com/,,
5G DSS,5G,1-3 Gbps,不限,中,智能家居、远程医疗,诺基亚,https://www.nokia.com/,,
UMTS,3G,384 Kbps,最长15公里,低,移动数据服务、基础通信,ITU,https://www.itu.int/,,
6G,未来技术,高达1 Tbps,不限,极高,虚拟现实、全息通信,MIT Technology Review,https://www.technologyreview.com/,,
FDD-LTE,4G,150 Mbps,最长30公里,中,企业网络、移动宽带,OpenSignal,https://www.opensignal.com/,,
VHF/UHF,无线电通信,低于100 kbps,最长100公里,中,紧急响应、公共安全,NIST,https://www.nist.gov/,,
WiMAX,宽带无线,70 Mbps,最长50公里,中,农村互联网接入、视频渗透,IEEE,https://www.ieee.org/,,
FMC,融合通信,200 Mbps,10-20公里,高,企业通信、电信服务,Telecoms.com,https://telecoms.com/,,
Edge Computing Networks,边缘计算,1 Gbps,5公里以内,高,边缘运算、高频交易,Gartner,https://www.gartner.com/,,
C-V2X,车联网,300 Mbps,300米,中,自动驾驶、车辆通信,International Telecommunication Union,https://www.itu.int/,,
Low Power Cellular,LPWA,100 kbps,最长7公里,低,物联网、环境监测,Nokia Bell Labs,https://www.bell-labs.com/,,
Private LTE,4G,50 Mbps,最长10公里,高,工厂自动化、资源管理,Cisco,https://www.cisco.com/,,
Massive MIMO,5G,3 Gbps,最长250米,高,密集城市通信、用户高需求场景,MIT,https://www.mit.edu/,,
6G Future Wireless,6G,1 Tbps,最长1000米,高,虚拟现实、城市智能管理,华为,https://www.huawei.com/,,
NB-IoT,LPWA,250 kbps,最长10公里,低,智能城市、农田监测,中国电信,https://www.chinatelecom-h.com/,,
LTE-A Pro,4.5G,1 Gbps,最长30公里,中,视频监控、高清视频流,阿里巴巴,https://www.alibaba.com/,,
WiFi 6E,WiFi,9.6 Gbps,最长100米,中,高密度场所、智能家居,Intel,https://www.intel.com/,,
4G LTE,4G,150 Mbps,最长25公里,中,移动互联网、在线游戏,AT&T,https://www.att.com/,,
Edge Computing Cellular,5G,500 Mbps,最长500米,高,实时数据处理、边缘计算应用,Nokia,https://www.nokia.com/,,
TDD-LTE,4G,100 Mbps,最长15公里,中,移动多媒体、车联网,新加坡信息通信媒体发展局,https://www.imda.gov.sg/,,
LPWAN,LPWA,50 kbps,最长50公里,低,智能资产跟踪、环境监测,普华永道,https://www.pwc.com/,,
VoLTE,4G,50 Mbps,最长20公里,中,高清语音、视频通话,三星电子,https://www.samsung.com/,,
NR (New Radio),5G,10 Gbps,最长500米,高,无人驾驶、增强现实,ZTE,https://www.zte.com.cn/,,
GSM-R,2G,1 Mbps,最长70公里,中,铁路通信、交通管理,Ciena,https://www.ciena.com/,,
WiMAX,4G,70 Mbps,最长30公里,中,固定无线接入、高速上网,Clear Wire,https://www.clearwire.com/,,
EC-GSM-IoT,2G,150 kbps,最长35公里,低,物联网设备、安全监控,爱立信,https://www.ericsson.com/,,
5G DSS,5G,400 Mbps,不限,高,移动宽带、智慧工厂,Verizon,https://www.verizon.com/,,
GPRS-2,2.5G,60 kbps,最长25公里,低,低速数据通信、远程监控,GSMA,https://www.gsma.com/,,
V2X,5G,150 Mbps,最长1000米,高,车联网、智能交通,日本电信电话公司,https://www.ntt.com/,,
FDD-LTE,4G,300 Mbps,最长35公里,中,整个城市覆盖、商业用,高通,https://www.qualcomm.com/,,
4G LTE Advanced,4G,300 Mbps,最长50公里,中,移动视频流、在线游戏,华为技术有限公司,https://www.huawei.com/,,
NB-IoT,LPWA,250 kbps,最长10公里,低,智能城市、物联网设备,三大运营商,https://www.3gpp.org/,,
Edge 5G,5G,1 Gbps,最长500米,高,虚拟现实、增强现实,高通,https://www.qualcomm.com/,,
TDD-LTE,4G,150 Mbps,最长30公里,中,无线宽带、家庭娱乐,中国联通,https://www.10010.com/,,
Public Safety LTE,4G,100 Mbps,最长20公里,高,公共安全、紧急响应,美国联邦通信委员会,https://www.fcc.gov/,,
HSPA+ Evolution,3.5G,84 Mbps,最长15公里,中,个人通信、移动表格,AT&T,https://www.att.com/,,
Standalone 5G,5G,2 Gbps,不限,高,工业自动化、智能制造,诺基亚,https://www.nokia.com/,,
LTE Cat M1,LPWA,375 kbps,最长20公里,低,智能表计、健康监测,AT&T,https://www.att.com/,,
5G NR,5G,10 Gbps,最长500米,高,大规模物联网、自动驾驶,国际电信联盟,https://www.itu.int/,,
GSM-R,2G,9.6 kbps,最长50公里,低,铁路通信、运输管理,全球运输组织,https://www.itu.int/en/ITU-T/informationsecurity/Pages/GSM-R.aspx,,
6G Research,6G,100 Gbps,最长1000米,极高,超级实时通信、全息传输,MIT传媒实验室,https://www.media.mit.edu/,,
HDSR,4G,50 Mbps,最长25公里,中,远程医疗、移动教育,中国信通院,https://www.caict.ac.cn/,,
Fixed Wireless Access,5G,500 Mbps,最长7公里,中,家庭宽带、企业解决方案,电信开放协会,https://www.nta.gov/,,
IoT 5G Networks,5G,20 Mbps,不限,中,资产追踪、环境监控,IBM,https://www.ibm.com/,,
V2X Communication,5G,1 Gbps,最长500米,高,车联网、智能交通,国际汽车工程师学会,https://www.sae.org/,,
LMDS,4G,10 Mbps,最长5公里,低,无线宽带接入、乡村互联网,个别地方政府,https://www.localgov.gov/,,
Fifth Generation Mobile Network,5G,3 Gbps,最长1000米,高,智慧城市、机器人,英国广播公司BBC,https://www.bbc.com/,,
GPRS-Evolution,2.75G,120 kbps,最长20公里,低,商务邮件、图像传输,华为,https://www.huawei.com/,,
NB-IoT,NB-IoT,250 kbps,最长35公里,低,智能水表、智能电表,华为,https://www.huawei.com/,,
Wi-Fi 6,Wi-Fi,9.6 Gbps,最长300米,中,家庭网络、企业网络,IEEE,https://www.ieee.org/,,
LoRaWAN,LPWAN,50-300 kbps,最长15公里,低,农业监测、智慧城市,LoRa Alliance,https://lora-alliance.org/,,
6G,6G,1 Tbps,不限制,高,虚拟增强现实、全息通话,ITU,https://www.itu.int/en/ITU-T/Study-Groups/2021-2024/20/Pages/default.aspx,,
Edge Computing LTE,LTE,150 Mbps,最长20公里,中,流媒体、机器对机器 (M2M),Verizon,https://www.verizon.com/,,
TDD 4G,TD-LTE,300 Mbps,最长15公里,中,高速互联网接入、视频流,中国联通,https://www.chinaunicom.com/,,
FDD 4G,FDD-LTE,150 Mbps,最长10公里,中,平板电脑、智能手机,AT&T,https://www.att.com/,,
Sigfox,LPWAN,100 bps,最长50公里,低,物联网、大规模设备连接,Sigfox,https://www.sigfox.com/,,
VoLTE,LTE,最大100 Mbps,最长25公里,中,高清语音呼叫、视频通话,Sprint,https://www.sprint.com/,,
5G NR,5G,10 Gbps,最长500米,高,自动驾驶、智能制造,Nokia,https://www.nokia.com/,,
FNR 5G,5G,5 Gbps,最长1000米,高,无人机运作、智能物流,Ericsson,https://www.ericsson.com/,,
CDMA,3G,3.1 Mbps,最长50公里,低,传统语音服务、移动数据,高通,https://www.qualcomm.com/,,
UNB,Ultra Narrowband,10 bps,最长20公里,低,远程监控、土壤湿度监测,Sigfox,https://www.sigfox.com/,,
IoT 5G,5G,2 Gbps,最长500米,中,智能城市、智能制造,GSMA,https://www.gsma.com/,,
Cellular V2X,5G,1 Gbps,最长300米,中,车联网、交通管理,Mobile World Congress,https://www.mwcbarcelona.com/,,
Mesh Network 5G,5G,200 Mbps,不限制,中,动态移动通信、灾害响应,ZTE,https://www.zte.com.cn/,,
Voice over Wi-Fi,Wi-Fi,最大150 Mbps,最长100米,低,语音通话、视频通话,CISCO,https://www.cisco.com/,,
NB-IoT,Narrowband,250 kbps,最长10公里,低,智能城市、农业监测,中国电信,https://www.chinatelecom.com,,
LTE,4G,100 Mbps,最长5公里,中,视频流服务、在线游戏,华为,https://www.huawei.com,,
HSPA,3G,21 Mbps,最长50公里,中,移动互联网、流媒体服务,中兴通讯,https://www.zte.com.cn,,
4G LTE Advanced,4G,300 Mbps,最长10公里,高,高清视频、虚拟现实,AT&T,https://www.att.com,,
5G NR,5G,1 Gbps,最长500米,高,自动驾驶、物联网,Verizon,https://www.verizon.com,,
5G SA,5G,2 Gbps,不限,高,智慧医疗、智能制造,高通,https://www.qualcomm.com,,
TD-SCDMA,3G,2 Mbps,最长20公里,低,基础语音服务,中国联合网络通信集团,https://www.unicom.cn,,
6G,未来技术,10 Gbps,不限,未知,全息通讯、超高频物联网,国际电信联盟,https://www.itu.int,,
Edge Computing 5G,5G,1.5 Gbps,最长200米,高,边缘计算、实时数据处理,阿里巴巴集团,https://www.alibaba.com,,
GSM,2G,64 kbps,最长35公里,低,基本电话服务、短信传输,欧洲电信委员会,https://www.cept.org,,
V2X Communication,5G,高达10 Mbps,最长300米,中,车联网、智能交通,国际汽车制造商协会,https://www.oica.net,,
Satellite IoT,卫星通信,1 Mbps,不限,高,全球远程监控、极地研究,SpaceX,https://www.spacex.com,,
LoRaWAN,LPWAN,50 kbps,最长15公里,低,环境监测、智能建筑,The LoRa Alliance,https://lora-alliance.org,,
Fifth Generation Cellular,5G,3 Gbps,最长1公里,高,沉浸式体验、转型制造,IEEE,https://www.ieee.com,,
Enhanced 4G LTE,4G,150 Mbps,最长8公里,中,增强现实、实时传媒,英国电信,https://www.bt.com,,
XG PON,光纤到户,10 Gbps,最长20公里,中,家庭和企业网络接入,日本NTT,https://www.ntt.com,,
5G Ultra Wideband,5G,4 Gbps,最长1公里,高,高带宽应用、密集城市环境,Google,https://www.google.com,,
Outdoor Small Cells,5G,200 Mbps,最长200米,中,密集市区网络覆盖,Nokia,https://www.nokia.com,,
NB-IoT,LPWAN,250 kbps,最长10公里,低,智能城市、智能表计,华为,https://www.huawei.com/,,
LTE-Cat. M1,LPWA,375 kbps,最长15公里,中,工业自动化、智能农业,诺基亚,https://www.nokia.com/,,
4G LTE,4G,150 Mbps,最长1公里,中,视频流、移动游戏,中国联通,https://www.chinaunicom.com/,,
Satellite LTE,4G,50 Mbps,不限,高,海上通信、飞行器连接,Thales Group,https://www.thalesgroup.com/,,
5G NR,5G,10 Gbps,最长500米,高,虚拟现实、增强现实,ZTE,https://www.zte.com.cn/,,
TDD LTE,4G,300 Mbps,最长3公里,中,高清直播、在线教育,爱立信,https://www.ericsson.com/,,
Fixed Wireless Access 5G,5G,1 Gbps,最长1公里,中,家庭宽带、企业网络,AT&T,https://www.att.com/,,
3GPP Release 16,5G,4 Gbps,短距,高,自动驾驶、互联网巨头应用,3GPP,https://www.3gpp.org/,,
LAA (License Assisted Access),4G,1-3 Gbps,最长250米,中,高密度场所,高通,https://www.qualcomm.com/,,
eMTC (Enhanced Machine Type Communication),4G,1 Mbps,最大10公里,低,大量物联网设备连接,Gartner,https://www.gartner.com/,,
6G,6G (概念阶段),上行100 Gbps,未知,超高,量子计算、全息通信,IEEE,https://www.ieee.org/,,
IoT 5G,5G,500 Mbps,最长300米,中,智能家居、可穿戴设备,国际电信联盟,https://www.itu.int/,,
Sub-6 GHz 5G,5G,3 Gbps,最长1公里,中,城市覆盖、公共服务,OpenSignal,https://opensignal.com/,,
FWA,5G,2 Gbps,最长1.5公里,中,农村宽带、偏远地区连接,Nokia Networks,https://www.nokia.com/networks/,,
MIMO 5G,5G,1.5 Gbps,最长800米,高,高速公路监控、智能交通,华为技术有限公司,https://www.huawei.com/,,
DSRC (Dedicated Short-Range Communications),DSRC,6 Mbps,最大1公里,中,车联网、智慧交通系统,NHTSA,https://www.nhtsa.gov/,,
Low-Power Wide-Area Network (LPWAN),LPWAN,50 kbps,最长50公里,低,自动化、监测设备,ITU-T,https://www.itu.int/en/ITU-T/,,
Wi-Fi 6E,Wi-Fi,9.6 Gbps,最长100米,中,家庭网络、企业无线网络,Cisco,https://www.cisco.com/,,
NB-IoT,LPWA,250 kbps,最长35公里,低,智慧城市、农业监控,华为,https://www.huawei.com/,,
4G LTE,4G,150 Mbps,最长50公里,中,视频流服务、移动游戏,中国电信,https://www.chinatelecom-h.com/,,
5G NR,5G,10 Gbps,最远500米,高,增强现实、虚拟现实,ITU,https://www.itu.int/,,
LoRaWAN,LPWA,50 kbps,最长15公里,低,智能能源、环境保护,Semtech,https://www.semtech.com/,,
TETRA,中继,28.8 kbps,最长50公里,中,公共安全、紧急服务,Motorola Solutions,https://www.motorolasolutions.com/,,
GSM,2G,9.6 kbps,最长35公里,低,语音通话、短信服务,Ericsson,https://www.ericsson.com/,,
SCTE,DOCSIS,1 Gbps,无限,中,有线电视、家庭网络,SCTE,https://www.scte.org/,,
Smart 5G,5G,1 Gbps,最远300米,高,智能交通、远程医疗,Verizon,https://www.verizon.com/,,
FDD-LTE,4G,300 Mbps,最长40公里,中,高速度移动互联网,中兴通讯,http://www.zte.com.cn/,,
Ethernet,以太网,10 Gbps,最长100米（铜缆）,低,局域网连接,IEEE,https://www.ieee.org/,,
TDD-LTE,4G,150 Mbps,最长20公里,中,移动社交、视频通话,爱立信,https://www.ericsson.com/,,
WiMAX,4G,1 Gbps,最远50公里,中,宽带互联网接入,Intel,https://www.intel.com/,,
CDMA,3G,2 Mbps,最长20公里,中,移动电话通话,Qualcomm,https://www.qualcomm.com/,,
6G,6G（前沿）,100 Gbps（理论）,不限,高,无缝连接、全面智能化,Nokia,https://www.nokia.com/,,
Edge Computing Network,边缘计算,10 Gbps,最长500米,中,数据处理、实时分析,IBM,https://www.ibm.com/,,
6G Terahertz,6G,1 Tbps,最长500米,高,虚拟现实、网络边缘计算,华为技术有限公司,https://www.huawei.com/,,
NB-IoT,LPWA,250 kbps,最长10公里,低,智能城市、设备监控,中兴通讯,https://www.zte.com.cn/,,
4G LTE,4G,150 Mbps,最长50公里,中,移动互联网、在线游戏,AT&T,https://www.att.com/,,
Quantum LTE,4G,200 Mbps,最长30公里,中,高清视频、实时流媒体,Verizon,https://www.verizon.com/,,
WiMAX,4G,70 Mbps,最长50公里,中,乡村宽带、无线互联网接入,Sprint,https://www.sprint.com/,,
V2X Communication,V2X,10 Mbps,最长500米,高,智能交通、车联网,IEEE,https://www.ieee.org/,,
Sigfox,LPWAN,100 bps,最长50公里,低,环境监测、智能农业,Sigfox SA,https://www.sigfox.com/,,
LoRaWAN,LPWAN,50 kbps,最长15公里,低,物联网应用、智能计量,LoRa Alliance,https://lora-alliance.org/,,
Terrestrial 5G,5G,800 Mbps,最长300米,中,高密度人群区域、楼宇内网络,NTT DoCoMo,https://www.nttdocomo.co.jp/,,
C-V2X,C-V2X,10 Mbps,最长1公里,高,车辆与基础设施通信,Qualcomm,https://www.qualcomm.com/,,
Private 5G,5G,500 Mbps,最长3公里,高,企业私有网络、安全通信,Ericsson,https://www.ericsson.com/,,
4G LTE Advanced,4G,300 Mbps,最长20公里,中,视频监控、远程医疗,T-Mobile,https://www.t-mobile.com/,,
Advanced Messaging,5G,50 Mbps,不限,中,增强型消息服务、云应用,Google,https://cloud.google.com/,,
Dynamic Spectrum Sharing,5G,600 Mbps,最长500米,高,运营商网络优化,Nokia,https://www.nokia.com/,,
3G CDMA,3G,2 Mbps,最长5公里,低,基础通信、语音服务,Sprint,https://www.sprint.com/,,
HSPA Evo,3.5G,21 Mbps,最长30公里,中,视频电话、移动宽带,Vodafone,https://www.vodafone.com/,,
Fifth Generation,5G,900 Mbps,最长1公里,高,虚拟现实、无人驾驶汽车,Cisco,https://www.cisco.com/,,
4G LTE Cat M1,LPWA,300 kbps,最长10公里,低,智能设备、远程监控,Telit,https://www.telit.com/,,
6G Vision,6G,10 Gbps,最长1000米,高,智能交通、增强现实,爱立信,https://www.ericsson.com/,,
LPWA-NB,NB-IoT,250 kbps,最长10公里,中,智能家居、资产追踪,中国联通,https://www.10010.com/,,
Edge 5G,5G,1.5 Gbps,最长500米,高,边缘计算、工业4.0,华为,https://www.huawei.com/,,
Cat-M1,LTE-M,375 kbps,最长30公里,低,智能表计、健康监测,高通,https://www.qualcomm.com/,,
TDD 4G LTE,4G,100 Mbps,最长15公里,中,视频流、通讯,AT&T,https://www.att.com/,,
IoT 5G,5G,2 Gbps,不限,高,智慧城市、无人驾驶,Nokia,https://www.nokia.com/,,
4G LTE Advanced,LTE,300 Mbps,最长50公里,中,移动互联网、在线游戏,Sprint,https://www.sprint.com/,,
5G NR,5G,4 Gbps,最长200米,高,虚拟现实、数据中心连接,GSMA,https://www.gsma.com/,,
Hybrid 5G,5G,500 Mbps,最长1000米,高,智能制造、微型机器人,ITU,https://www.itu.int/,,
GSM-R,2G,9.6 kbps,最长200公里,低,铁路运输,欧盟铁路委员会,https://www.era.europa.eu/,,
5G FWA,5G,1 Gbps,最长500米,中,固定无线接入,Verizon,https://www.verizon.com/,,
Satellite IoT,Satellite,2 Mbps,不限,高,农村监控、环境监测,Object Satellite,https://www.object-satellite.com/,,
5G C-V2X,5G,1.5 Gbps,最长300米,高,车联网、智能交通管理,车联网协会,https://www.vehiclenetwork.org/,,
5G RedCap,5G,1 Mbps,最长1公里,中,低功耗设备、物联网应用,IEEE,https://www.ieee.org/,,
V2X LTE,LTE,200 Mbps,最长500米,中,车辆与交通设施间通信,Ford,https://www.ford.com/,,
4G LTE Cat-1,LTE,10 Mbps,最长10公里,低,可穿戴设备、传感器,Semtech,https://www.semtech.com/,,
Wi-Fi 6E,Wi-Fi,9.6 Gbps,最长60米,高,家庭娱乐、办公,Broadcom,https://www.broadcom.com/,,
6G Terahertz,6G,1 Tbps,最长1公里,高,虚拟现实、智慧城市,华为,https://www.huawei.com/,,
Narrowband IoT,LPWA,250 kbps,最长10公里,低,智能水表、农业监测,爱立信,https://www.ericsson.com/,,
WiMAX,4G,70 Mbps,最长50公里,中,互联网接入、远程办公,Intel,https://www.intel.com/,,
4G LTE Advanced,4G,150 Mbps,最长15公里,中,高清视频流、在线游戏,Verizon,https://www.verizon.com/,,
Sigfox,LPWAN,100 bps,最长50公里,低,物联网设备、智能家居,Sigfox,https://www.sigfox.com/,,
TETRA,专业移动通信,9.6 kbps,最长40公里,高,紧急服务、公共安全,Motorola Solutions,https://www.motorolasolutions.com/,,
NB-IoT,LPWAN,100 kbps,最长30公里,低,智能城市、环境监测,中国联通,https://www.chinaunicom.com/,,
FDD-LTE,4G,75 Mbps,最长20公里,中,非洲市场移动互联网,MTN Group,https://www.mtn.com/,,
CDMA2000,3G,3.1 Mbps,最长30公里,低,3G手机服务,高通,https://www.qualcomm.com/,,
LTE-U,4G,300 Mbps,最长5公里,中,城市高密度区域,AT&T,https://www.att.com/,,
5G SA,5G,10 Gbps,最长500米,高,智能工厂、自动驾驶,Samsung,https://www.samsung.com/,,
GSM-R,2G,9600 bps,最长100公里,中,铁路运输,国际铁路联盟,https://www.uir.org/,,
4G LTE,4G,300 Mbps,最长10公里,中,高清直播、社交平台,中国电信,https://www.chinatelecom.com.cn/,,
LoRaWAN,LPWAN,50 kbps,最长15公里,低,智能农业、城市基础设施,Semtech,https://www.semtech.com/,,
5G DSS,5G,1 Gbps,最长250米,中,移动宽带、在线游戏,T-Mobile,https://www.t-mobile.com/,,
eMTC,4G,1 Mbps,最长20公里,低,智能设备、预测维护,Vodafone,https://www.vodafone.com/,,
Edge Computing 5G,5G,2 Gbps,不限,高,边缘计算、实时数据处理,AWS,https://aws.amazon.com/,,
