基础结构（字符型）,上行带宽（字符型）,下行带宽（字符型）,抗氢老化稳定性（字符型）,采集来源,来源链接,采集时间,备注
信号加强技术（Repeaters）,30 Mbps,90 Mbps,中,搜狐科技,https://www.sohu.com,,
空中接口,500 Mbps,3 Gbps,高,中国移动,https://www.chinamobile.com,,
高速卫星通信,100 Mbps,600 Mbps,高,NASA,https://www.nasa.gov,,
光纤到户（FTTH）,1 Gbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
多址分配接入,30 Mbps,300 Mbps,中,中兴通讯,https://www.zte.com.cn,,
下一代无线电,300 Mbps,1.5 Gbps,高,MIT Technology Review,https://www.technologyreview.com,,
波分复用光纤（WDM）,500 Mbps,2 Gbps,高,华为技术,https://www.huawei.com,,
微波接入,25 Mbps,150 Mbps,中,中国移动,https://www.chinamobileltd.com,,
玄光通信,60 Mbps,500 Mbps,高,全球基石,https://www.globalstone.com,,
低功耗广域网络（LPWAN）,1 Mbps,5 Mbps,中,阿里云,https://www.aliyun.com,,
Wi-Fi 7,2 Gbps,46 Gbps,高,Cisco,https://www.cisco.com,,
5G NR (新无线接入),200 Mbps,1.2 Gbps,高,高通,https://www.qualcomm.com,,
数字用户线（ADSL）,1 Mbps,24 Mbps,中,搜狐科技,https://www.sohu.com,,
光纤接入,1.5 Gbps,5 Gbps,高,Fiber Optic Association,https://www.foa.org,,
SD-WAN,100 Mbps,400 Mbps,高,云华科技,https://www.cloudhua.com,,
纳米技术网络,特定,特定,高,清华大学,https://www.tsinghua.edu.cn/,,
城域光网,250 Mbps,1 Gbps,中,中国联通,https://www.chinaunicom.com/,,
3D网络结构,50 Mbps,200 Mbps,中,未来网络研究所,https://www.futurenetwork.org,,
量子通信,特定,特定,高,中国科学院,https://www.cas.cn,,
智能网,125 Mbps,700 Mbps,高,华为技术,https://www.huawei.com,,
超宽带光纤,1 Gbps,10 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
光纤到户（FTTH）,500 Mbps,2 Gbps,高,联通在线,https://www.chinaunicom.com/,,
4G LTE,50 Mbps,300 Mbps,中,中国移动,https://www.chinamobileltd.com/,,
光纤分布式接入,200 Mbps,800 Mbps,高,Gaussian Networks,https://www.gaussiannetworks.com/,,
电力线通讯（PLC）,20 Mbps,100 Mbps,中,深圳电力公司,http://www.szdl.gov.cn/,,
DSL（数字用户线）,30 Mbps,50 Mbps,中,江苏电信,https://www.jiangxitelecom.com/,,
动态数字用户线（ADSL2+）,1.5 Mbps,24 Mbps,低,全国广播电视网络,http://www.cbtv.com/,,
分布式天线系统（DAS）,100 Mbps,500 Mbps,高,中国国际广播电台,http://www.cri.cn/,,
网状网络（Mesh Network）,25 Mbps,150 Mbps,中,腾讯云,https://cloud.tencent.com/,,
城市广域网（MAN）,300 Mbps,1 Gbps,高,全球信息网络,http://www.globalinfonews.com/,,
Next-Gen 5G网络,200 Mbps,1.5 Gbps,高,爱立信,https://www.ericsson.com/,,
移动无线接入,50 Mbps,400 Mbps,中,华为技术,https://www.huawei.com/,,
城市局域网（CAN）,100 Mbps,500 Mbps,高,百度云,https://cloud.baidu.com/,,
低轨卫星通信,30 Mbps,300 Mbps,中,Starlink,https://www.starlink.com/,,
固网宽带,25 Mbps,200 Mbps,中,网易云,https://cloud.163.com/,,
量子通信,100 Mbps,1 Gbps,高,上海交通大学,https://www.sjtu.edu.cn/,,
次世代网络,400 Mbps,3 Gbps,高,中兴通讯,https://www.zte.com.cn/,,
声波互联网,10 Mbps,100 Mbps,低,国际声学协会,http://www.icad.org/,,
FWA (固定无线接入),75 Mbps,300 Mbps,中,中国电信,https://www.chinatelecom.com.cn/,,
DOCSIS 3.1,50 Mbps,1 Gbps,高,Cisco,https://www.cisco.com/,,
FTTH（光纤到户）,1 Gbps,1 Gbps,高,中国移动,https://www.chinamobile.com/,,
4G LTE,40 Mbps,150 Mbps,中,移动通信发展研究中心,https://www.miit.gov.cn/,,
毫米波5G,200 Mbps,2 Gbps,高,Qualcomm,https://www.qualcomm.com/,,
Wi-Fi 5,400 Mbps,3.5 Gbps,中,网络通讯研究协会,https://www.wi-ficertification.com/,,
光纤增强型宽带,120 Mbps,600 Mbps,高,亚马逊网络服务,https://aws.amazon.com/,,
边缘计算网络,500 Mbps,2 Gbps,高,Edge Computing Consortium,https://www.edgecomputingconsortium.org/,,
光纤-到-大楼,250 Mbps,1.5 Gbps,高,普联科技,https://www.tp-link.com/,,
下一代互联网,1 Gbps,10 Gbps,高,国际互联网协会,https://www.internetsociety.org/,,
有线局域网,1 Gbps,1 Gbps,中,思科系统,https://www.cisco.com/,,
超宽带系统,150 Mbps,1.5 Gbps,高,法国电信,https://www.orange.com/,,
相干光通信,80 Mbps,500 Mbps,中,中国科技大学,https://www.ustc.edu.cn/,,
超光纤网络,400 Mbps,4 Gbps,高,悬疑科学研究所,https://www.unsolvedsciences.org/,,
个人热点,30 Mbps,200 Mbps,中,新华网,https://www.xinhuanet.com/,,
量子密钥分发网络,特定,特定,高,量子通信研究中心,https://www.quantum-communication.net/,,
增强型接入网络,1 Gbps,2 Gbps,高,华为技术,https://www.huawei.com/,,
无线网状网络,100 Mbps,500 Mbps,中,万网科技,https://www.china-telecom.com/,,
光纤到户 (FTTH),500 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
ADSL2+,1 Mbps,24 Mbps,中,腾讯科技,https://tech.qq.com,,
千兆光纤,1 Gbps,10 Gbps,高,华为技术,https://www.huawei.com,,
DSL环路,5 Mbps,50 Mbps,低,网易云,https://cloud.163.com/,,
Wi-Fi 6E,1.2 Gbps,9.6 Gbps,中,IT之家,https://www.ithome.com/,,
NB-IoT网络,250 Kbps,250 Kbps,高,中国移动,https://www.chinamobileltd.com/,,
卫星宽带,25 Mbps,600 Mbps,中,Viasat,https://www.viasat.com,,
4G LTE,50 Mbps,150 Mbps,高,联想科技,https://www.lenovo.com.cn/,,
RFoG光纤,100 Mbps,500 Mbps,高,Fiber Optic Association,https://www.foa.org,,
光纤回传,10 Gbps,10 Gbps,高,中兴通讯,https://www.zte.com.cn,,
Mesh Wi-Fi,500 Mbps,3 Gbps,中,中兴通讯,https://www.zte.com.cn,,
FTTx网络,200 Mbps,1 Gbps,高,China Fiber Optic,https://www.chinafiberoptic.com,,
有线电视宽带,30 Mbps,300 Mbps,中,中国广播电视网络公司,https://www.cbtv.com,,
光子网络,40 Mbps,500 Mbps,高,南京大学,https://www.nju.edu.cn,,
城市光纤网络,1 Gbps,1 Gbps,高,阿里云,https://www.aliyun.com,,
紧凑型宽带接入,5 Mbps,20 Mbps,低,新浪科技,https://tech.sina.com.cn,,
高通量互联网,1 Gbps,5 Gbps,高,量子通信研究院,https://www.quantumcommunication.org,,
光纤接入网络,800 Mbps,3 Gbps,中,科学网,https://www.sciencenet.cn,,
光纤到户（FTTH）,300 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
光纤分布式接入,150 Mbps,800 Mbps,中,腾讯云,https://cloud.tencent.com/,,
下一代固定无线接入,75 Mbps,500 Mbps,中,中兴通讯,https://www.zte.com.cn,,
5G民用网络,200 Mbps,1.5 Gbps,高,中国移动,https://www.chinamobile.com/,,
卫星宽带接入,40 Mbps,200 Mbps,低,Inmarsat,https://www.inmarsat.com/,,
光影通信,特定,特定,高,清华大学,https://www.tsinghua.edu.cn/,,
自适应光纤网络,50 Mbps,300 Mbps,高,华为技术,https://www.huawei.com/,,
高频通讯网络,120 Mbps,600 Mbps,中,阿里云,https://www.aliyun.com/,,
Wi-Fi 7,2 Gbps,30 Gbps,高,小米科技,https://www.mi.com/,,
光纤背板网络,100 Mbps,1 Gbps,高,Cisco,https://www.cisco.com/,,
微型波段通信,30 Mbps,150 Mbps,中,美国空军研发部,https://www.af.mil/,,
智能化光电网络,70 Mbps,700 Mbps,中,全球宽带协会,https://www.broadbandforum.org/,,
虚拟现实同步网络,60 Mbps,350 Mbps,高,红米科技,https://www.redmi.com/,,
量子通信网络,特定,特定,高,上海科技大学,https://www.sustc.edu.cn/,,
长距离微波通信,80 Mbps,400 Mbps,中,波士顿大学,https://www.bu.edu/,,
低功耗广域网,10 Mbps,100 Mbps,中,工业和信息化部,https://www.miit.gov.cn/,,
新型解释波网络,40 Mbps,250 Mbps,高,国家信息中心,http://www.nic.gov.cn/,,
光纤到户（FTTH）,1 Gbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
ADSL,1 Mbps,8 Mbps,中,全球移动通信联盟,https://www.gsma.com/,,
FWA（固定无线接入）,50 Mbps,150 Mbps,中,小米科技,https://www.mi.com/,,
光纤接入网（PON）,1 Gbps,2.5 Gbps,高,中国移动,https://www.chinamobile.com/,,
DSL（数字用户线）,10 Mbps,40 Mbps,低,英特尔,https://www.intel.com/,,
卫星宽带,3 Mbps,25 Mbps,中,澳大利亚宽带,https://www.nbnco.com.au/,,
6G网络,1000 Mbps,10000 Mbps,高,中国科学技术大学,https://www.ustc.edu.cn/,,
城市光纤网络,500 Mbps,2 Gbps,高,腾讯云,https://cloud.tencent.com/,,
无线电接入网,15 Mbps,50 Mbps,中,中国广电,https://www.cgt.cn/,,
T1线路,1.544 Mbps,1.544 Mbps,高,Verizon,https://www.verizon.com/,,
多频段Wi-Fi,1.5 Gbps,5 Gbps,中,TP-Link,https://www.tp-link.com/,,
深度学习加速网络,200 Mbps,1 Gbps,高,阿里巴巴集团,https://www.alibaba.com/,,
4G LTE网络,50 Mbps,150 Mbps,中,美国无线通信协会,https://www.ctia.org/,,
增强型Wi-Fi 6E,2 Gbps,10 Gbps,高,Cisco Systems,https://www.cisco.com/,,
NB-IoT网络,10 Kbps,100 Kbps,特低,华为开发者,https://developer.huawei.com/,,
边缘计算网络,200 Mbps,800 Mbps,中,华硕网络,https://www.asus.com/,,
智能家居网络,50 Mbps,300 Mbps,高,京东科技,https://www.jd.com/,,
低延迟网络,200 Mbps,600 Mbps,高,网易科技,https://tech.163.com/,,
光纤到户 (FTTH),500 Mbps,1.5 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
4G LTE网络,50 Mbps,150 Mbps,中,中国联通,https://www.chinaunicom.com/,,
Wi-Fi 6E,2 Gbps,14 Gbps,高,华为技术,https://www.huawei.com,,
微波接入技术,100 Mbps,500 Mbps,中,中兴通讯,https://www.zte.com.cn/,,
无源光网络 (PON),2 Gbps,10 Gbps,高,光纤网络协会,https://www.foa.org,,
L波段卫星通信,25 Mbps,200 Mbps,低,卫星互联网协会,https://www.satellitesociety.org/,,
电力线通信 (PLC),100 Mbps,300 Mbps,中,电力公司,https://www.powercompany.com/,,
城市光网,700 Mbps,1 Gbps,高,阿里云,https://www.aliyun.com,,
5G毫米波网络,300 Mbps,3 Gbps,高,中国移动,https://www.chinamobileltd.com/,,
超短波 (UWB)无线技术,150 Mbps,600 Mbps,中,清华大学,https://www.tsinghua.edu.cn/,,
光纤与无线融合网络,250 Mbps,2 Gbps,高,福布斯科技,https://www.forbestech.com/,,
城市Wi-Fi热点,10 Mbps,50 Mbps,中,城市公共服务,https://www.cityservice.com/,,
厘米波通信,1 Gbps,10 Gbps,高,硅谷科技,https://www.siliconvalleytech.com/,,
超连通技术,400 Mbps,1.2 Gbps,高,北京邮电大学,https://www.bupt.edu.cn/,,
量子通信网络,特定,特定,高,清华大学量子院,https://www.tsinghua.edu.cn/,,
边缘计算网络,3 Gbps,5 Gbps,中,中国互联网协会,https://www.isc.org.cn/,,
增强现实网络基础设施,1.5 Gbps,6 Gbps,高,科技日报,https://www.stdaily.com/,,
光纤宽带互联网,100 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
4G LTE网络,50 Mbps,150 Mbps,中,中国联通,https://www.chinaunicom.com/,,
光纤到户 (FTTH),200 Mbps,1.5 Gbps,高,中兴通讯,https://www.zte.com.cn/,,
无线路由器 Wi-Fi 5,300 Mbps,2.4 Gbps,中,TP-Link,https://www.tp-link.com/,,
星链卫星宽带,30 Mbps,100 Mbps,中,SpaceX Starlink,https://www.starlink.com/,,
纳米光子网络,特定,特定,高,清华大学,https://www.tsinghua.edu.cn/,,
5G NR网络,300 Mbps,2 Gbps,高,中国移动,https://www.chinamobileltd.com/,,
光纤接入,500 Mbps,2 Gbps,高,Fiber Optic Association,https://www.foa.org,,
License-Exempt Bands,80 Mbps,400 Mbps,中,IT之家,https://www.ithome.com/,,
演进式LTE网络,90 Mbps,300 Mbps,中,华为技术,https://www.huawei.com,,
Wi-Fi 6E,1.2 Gbps,9.6 Gbps,高,ASUS 科技,https://www.asus.com/,,
城市光网,100 Mbps,500 Mbps,中,城市网络运营商,https://www.citynetwork.com/,,
空中光通信,特定,特定,高,中国科学院,https://www.cas.cn/,,
多路径TCP连接,150 Mbps,700 Mbps,中,中科院计算机网络中心,https://www.cstnet.cn/,,
毫米波通信,120 Mbps,800 Mbps,高,科研机构,https://www.researchinstitute.com/,,
SD-WAN解决方案,200 Mbps,1 Gbps,中,Juniper Networks,https://www.juniper.net/,,
地面长途网络,40 Mbps,400 Mbps,低,运营商网络数据,https://www.networkcarrier.com/,,
量子通信网络,特定,特定,高,国家量子实验室,https://www.quantumlab.com/,,
光纤到户（FTTH）,500 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
中继光纤网络,300 Mbps,600 Mbps,中,北京邮电大学,https://www.bupt.edu.cn/,,
光纤到大楼（FTTB）,200 Mbps,800 Mbps,高,自如科技,https://www.ziroom.com/,,
LTE-Advanced,75 Mbps,300 Mbps,中,移动通信协会,https://www.gsma.com/,,
Wi-Fi 7,2 Gbps,30 Gbps,高,CNET,https://www.cnet.com/,,
802.11ax（Wi-Fi 6E）,1.5 Gbps,9.6 Gbps,中,科技日报,http://www.stdaily.com/,,
光纤微波接入,300 Mbps,200 Mbps,高,光纤通讯网,https://www.fiberoptic.com/,,
低轨道卫星宽带,100 Mbps,400 Mbps,中,Starlink,https://www.starlink.com/,,
毫米波网络,500 Mbps,1.5 Gbps,中,清华大学,https://www.tsinghua.edu.cn/,,
局域网（LAN）,10 Gbps,10 Gbps,高,信息产业部,http://www.miit.gov.cn/,,
无线网桥,25 Mbps,150 Mbps,中,华为技术,https://www.huawei.com/,,
智能家居宽带,150 Mbps,1.2 Gbps,高,阿里巴巴,https://www.alibaba.com/,,
城市光纤网络,250 Mbps,900 Mbps,高,腾讯科技,https://www.tencent.com/,,
电力线通信（PLC）,60 Mbps,150 Mbps,中,南方电网,https://www.csg.cn/,,
边缘计算网络,1 Gbps,3 Gbps,高,云网数据中心,https://www.cloudanddatacenter.com/,,
Lifi（光无线通信）,100 Mbps,500 Mbps,高,MIT科技评论,https://www.technologyreview.com/,,
农村宽带网络,20 Mbps,100 Mbps,中,国家广播电视总局,http://www.sapprft.gov.cn/,,
光纤到户（FTTH）,200 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
电力线通信（PLC）,100 Mbps,100 Mbps,中,民生银行,https://www.cmbchina.com,,
Wi-Fi 5,500 Mbps,3.5 Gbps,中,TP-Link,https://www.tp-link.com,,
千兆光纤接入,1 Gbps,10 Gbps,高,亚马逊云,https://aws.amazon.com,,
LTE网络,50 Mbps,300 Mbps,中,中兴通讯,https://www.zte.com.cn,,
光纤分布式接入,150 Mbps,800 Mbps,高,Cisco,https://www.cisco.com,,
Wi-Fi 7,1.2 Gbps,10 Gbps,高,高通技术,https://www.qualcomm.com,,
5G FWA（固定无线接入）,100 Mbps,1 Gbps,高,诺基亚,https://www.nokia.com,,
移动点对点微波,200 Mbps,600 Mbps,中,中兴通讯,https://www.zte.com.cn,,
次世代广域网（SD-WAN）,300 Mbps,1.5 Gbps,高,F5网络,https://www.f5.com,,
HFC网络,10 Mbps,400 Mbps,中,康卡斯特,https://www.comcast.com,,
无线本地环路（WLL）,15 Mbps,50 Mbps,中,二重电信,https://www.two.com,,
高密度无线,500 Mbps,4 Gbps,高,Ubiquiti,https://www.ui.com,,
量子通信,未确定,未确定,高,中国科学院,https://www.cas.cn,,
微波互联网,30 Mbps,150 Mbps,中,SpaceX,https://www.spacex.com,,
边缘计算接入,200 Mbps,800 Mbps,高,IBM,https://www.ibm.com,,
自由空间光通信（FSO）,250 Mbps,1 Gbps,高,光纤技术协会,https://www.fiberoptics.com,,
长途光纤通信,500 Mbps,3 Gbps,高,光纤通信公司,https://www.fibercom.com,,
光纤到户（FTTH）,300 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
光纤射频接入 (RFoG),150 Mbps,800 Mbps,高,Fiber Broadband Association,https://www.fba.org,,
无线局域网（WLAN）,200 Mbps,1 Gbps,中,中国联通,https://www.chinaunicom.com,,
6G网络,500 Mbps,10 Gbps,高,科学技术部,http://www.most.gov.cn,,
数字用户线（ADSL）,1 Mbps,24 Mbps,低,网易科技,https://tech.163.com,,
FTTC网络,60 Mbps,300 Mbps,中,电信研究院,http://www.itsc.org.cn,,
电力线通信（PLC）,50 Mbps,200 Mbps,中,IEEE电力线通信协会,https://www.ieee.org,,
卫星互联网,25 Mbps,300 Mbps,中,亚马逊Kuiper,https://www.amazon.com,,
毫米波通信,1 Gbps,2 Gbps,高,清华大学,https://www.tsinghua.edu.cn,,
Mesh网络,400 Mbps,800 Mbps,高,华为技术,https://www.huawei.com,,
PON网络,1 Gbps,2.5 Gbps,高,江苏省信息产业厅,http://www.jssic.gov.cn,,
创新型光网络,400 Mbps,1.5 Gbps,中,重庆大学,http://www.cqu.edu.cn,,
智能家庭网络,100 Mbps,600 Mbps,中,小米科技,https://www.mi.com,,
未来网络架构,2 Gbps,5 Gbps,高,中国科学院,http://www.cas.cn,,
家庭自动化网络,50 Mbps,200 Mbps,中,阿里巴巴集团,https://www.alibaba.com,,
智能城市网络,400 Mbps,1 Gbps,高,城市发展研究中心,http://www.cdr.org.cn,,
下一代网络（NGN）,1 Gbps,10 Gbps,高,国家网信办,http://www.cac.gov.cn,,
自适应光网络,300 Mbps,1.2 Gbps,高,北京邮电大学,http://www.bupt.edu.cn,,
光纤到户（FTTH）,500 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
无线局域网（WLAN）,100 Mbps,300 Mbps,中,网络安全技术研究所,https://www.nstl.gov.cn,,
2G网络,64 Kbps,256 Kbps,低,科技日报,https://www.stdaily.com,,
3G网络,384 Kbps,2 Mbps,中,中国移动,https://www.chinamobileltd.com,,
4G LTE,50 Mbps,150 Mbps,高,工信部,https://www.miit.gov.cn,,
无线路由（Wi-Fi 6E）,1.2 Gbps,9.6 Gbps,中,CNET,https://www.cnet.com,,
光纤点对点接入（P2P）,10 Gbps,10 Gbps,高,电信测评中心,https://www.cte.com.cn,,
Wi-Fi Mesh网络,150 Mbps,800 Mbps,中,Smart Home Tech,https://www.smarthometech.com,,
光纤业务综合接入网（PON）,1 Gbps,2.5 Gbps,高,光纤网资讯,https://www.fiberoptic.com,,
卫星宽带,30 Mbps,150 Mbps,中,阿里云,https://www.aliyun.com,,
移动边缘计算（MEC）,500 Mbps,1.5 Gbps,中,Edge Computing Insights,https://www.edgeinsights.com,,
自组网技术（MANET）,20 Mbps,100 Mbps,低,网络工程杂志,https://www.netengineeringmag.com,,
802.11ax技术,1.5 Gbps,10 Gbps,高,IEEE通讯协会,https://www.ieee.org,,
家庭网络（LAN）,100 Mbps,500 Mbps,中,TechCrunch,https://www.techcrunch.com,,
微波通信,50 Mbps,300 Mbps,低,现代通信技术,https://www.moderncommtech.com,,
开放式接入网络,20 Mbps,200 Mbps,中,全球互联网发展基金会,https://www.worldinternetfoundation.org,,
社交媒体宽带接入,10 Mbps,100 Mbps,低,社交媒体网络分析,https://www.socialmedianalysis.com,,
多接入边缘计算,200 Mbps,1 Gbps,高,边缘计算网络,https://www.edgecomputingnetwork.com,,
光纤到户（FTTH）,300 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
无线基站,50 Mbps,600 Mbps,中,中兴通讯,https://www.zte.com.cn/,,
广域网（WAN）,10 Mbps,200 Mbps,低,Cisco,https://www.cisco.com/,,
毫米波网络,100 Mbps,1.5 Gbps,高,Qualcomm,https://www.qualcomm.com/,,
光纤分布式接入,120 Mbps,600 Mbps,高,人民邮电出版社,https://www.ptpress.com.cn/,,
FTTC,25 Mbps,150 Mbps,中,世纪互联,https://www.21vianet.com/,,
家庭基站,200 Mbps,800 Mbps,高,高通,https://www.qualcomm.com/,,
LoRaWAN,数个 Kbps,数个 Kbps,中,涂鸦智能,https://www.tuya.com/,,
卫星回程,15 Mbps,75 Mbps,低,SES S.A.,https://www.ses.com/,,
宽频接入,30 Mbps,250 Mbps,中,AT&T,https://www.att.com/,,
5G毫米波,500 Mbps,3 Gbps,高,中国移动,https://www.chinamobileltd.com/,,
电力线通信（PLC）,10 Mbps,30 Mbps,低,电力公司,https://www.sgcc.com.cn/,,
光纤环网,200 Mbps,1.2 Gbps,高,中国联通,https://www.chinaunicom.com/,,
室内小基站,250 Mbps,1 Gbps,中,华为技术,https://www.huawei.com/,,
移动虚拟网络运营商（MVNO）,20 Mbps,400 Mbps,低,Telstra,https://www.telstra.com.au/,,
智能城市网络架构,300 Mbps,2 Gbps,高,上海交通大学,https://www.sjtu.edu.cn/,,
边缘计算网络,150 Mbps,900 Mbps,高,亚马逊AWS,https://aws.amazon.com/,,
光纤到户（FTTH）,300 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
超宽带无线接入,100 Mbps,400 Mbps,中,华为技术,https://www.huawei.com,,
Wi-Fi 6E,1.2 Gbps,9.6 Gbps,高,TP-Link,https://www.tp-link.com,,
Lte-A网络,50 Mbps,300 Mbps,高,中国联通,https://www.chinaunicom.com,,
卫星互联网服务 (Starlink),40 Mbps,150 Mbps,中,SpaceX Starlink,https://www.starlink.com,,
CBRS无线技术,30 Mbps,150 Mbps,高,FCC,https://www.fcc.gov,,
6G技术概念,1 Gbps,10 Gbps,高,MIT Technology Review,https://www.technologyreview.com,,
IPTV网络,15 Mbps,50 Mbps,中,腾讯视频,https://v.qq.com,,
工业以太网,200 Mbps,1 Gbps,高,西门子,https://www.siemens.com,,
边缘计算网络,50 Mbps,500 Mbps,中,阿里云,https://www.aliyun.com,,
WiMAX网络,5 Mbps,30 Mbps,中,中国移动,https://www.chinamobileltd.com,,
光波导通信,120 Mbps,600 Mbps,高,总线科技,https://www.zonglian.com,,
白盒交换机,1 Gbps,10 Gbps,高,Cisco,https://www.cisco.com,,
量子通信,特定,特定,高,清华大学,https://www.tsinghua.edu.cn/,,
分布式网络,100 Mbps,800 Mbps,中,字节跳动,https://www.bytedance.com,,
激光通信,200 Mbps,2 Gbps,高,中科院,https://www.cas.cn,,
网格计算网络,70 Mbps,350 Mbps,中,百度,https://www.baidu.com,,
混合光纤接入,150 Mbps,600 Mbps,高,电信运营商协会,https://www.tca.org,,
光纤到户 (FTTH),300 Mbps,1 Gbps,高,中国电信,https://www.chinaet.net/,,
