人工智能系统名称（字符型）,人工智能系统类型（字符型）,作用类型（字符型）,适应群体（字符型）,规格大小（字符型）,全球最高研究状态（字符型）,建设目标（字符型）,建设内容（字符型）,重点发展领域（字符型）,合作结构（字符型）,所属产业类别（字符型）,其他研发单位（字符型）,人工智能系统概述（字符型）,采集来源,来源链接,采集时间,备注,,,
语音翻译系统,自然语言处理、机器学习,公共服务,旅游用户,中型,在研,打破语言隔阂,实时语音翻译与文本输出,翻译服务,旅游平台与技术公司合作,旅游,腾讯、小米,语音翻译系统通过自然语言处理实现实时语音翻译，打破语言隔阂。,36氪,https://www.36kr.com,2024-10-17,,,,
商业智能分析系统,数据分析、机器学习,企业决策支持,所有企业,SAP、Salesforce,在研,提升决策的准确性与时效性,整合数据与提供实时分析,企业管理,企业与IT公司合作,信息技术,SAP、Salesforce,商业智能分析系统整合数据与提供实时分析，帮助企业提升决策的准确性与时效性。,福布斯,https://www.forbes.com,2024-10-17,,,,
智能合约系统,区块链技术、智能合约,金融科技应用,金融机构,中型,在研,提高交易透明度与效率,自动化合同执行与记录,区块链,金融机构与科技公司合作,金融,Ethereum、Hyperledger,智能合约系统通过区块链技术实现自动化合同执行，提升交易透明度与效率。,CoinDesk,https://www.coindesk.com,2024-10-17,,,,
智能农业系统,数据分析、自动化管理,农民与科技公司合作,农业生产者,新加坡国立大学、以色列农业科技公司,在研,提高粮食产量与土地利用效率,利用AI进行作物监测与数据分析,智能农业,农民与科技公司合作,农业,新加坡国立大学、以色列农业科技公司,智能农业系统通过AI技术监测作物生长，帮助农民提高粮食生产效率。,农业前沿科技,https://www.agriculturetechworld.com,2024-10-17,,,,
金融风险管理系统,机器学习、数据挖掘,金融机构与科技公司合作,银行与投资公司,高盛、摩根士丹利,已商用,降低财务风险与提高效率,利用AI识别潜在金融风险,金融科技,金融机构与科技公司合作,金融服务,高盛、摩根士丹利,金融风险管理系统通过算法识别潜在风险，帮助金融机构做出更明智的决策。,金融时报,https://www.ft.com,2024-10-17,,,,
城市治理智能辅助系统,数据分析、决策支持,政府与研究机构合作,城市管理者,UC伯克利、城市数据联合会,在研,提升城市治理效率与服务质量,基于大数据提供决策支持,城市治理,政府与研究机构合作,公共服务,UC伯克利、城市数据联合会,城市治理智能辅助系统通过数据分析提高城市管理效率，优化资源分配。,城市创新网,https://www.urbaninnovation.org,2024-10-17,,,,
个性化教育系统,自适应学习、数据分析,学校与教育技术公司合作,学生,哈佛大学、Coursera,在研,提供定制化学习体验,基于AI分析学生学习数据,教育技术,学校与教育技术公司合作,教育,哈佛大学、Coursera,个性化教育系统利用AI技术分析学生表现，以提供量身定做的学习内容。,教育技术前沿,https://www.edtechfrontier.com,2024-10-17,,,,
能源管理系统,优化算法、数据分析,能源公司与科研机构合作,电力供应,国家电网、清华大学,在研,提升能源利用效率，降低成本,对能源需求进行预测与优化决策,能源科技,能源公司与科研机构合作,能源,国家电网、清华大学,能源管理系统通过机器学习算法，为电力企业优化能源分配与管理。,能源观察网,https://www.energyobserver.com,2024-10-17,,,,
智能医疗巡查系统,机器人技术、视觉识别,医疗机构与机器人公司合作,医院与诊所,福州大学、深圳中兴,在研,提高医院巡查效率与安全性,开发AI巡查机器人进行实时监测,智能医疗,医疗机构与机器人公司合作,医疗,福州大学、深圳中兴,智能医疗巡查系统使用AI机器人进行医院巡查，提升实时监控能力。,医疗科技前沿,https://www.healthtechfrontier.com,2024-10-17,,,,
智能物流系统,无人机、自动化管理,物流公司与技术伙伴合作,运输与物流行业,菜鸟网、亚马逊,在研,提高货物运输效率与准确性,无人机配送与AI路径优化,智能物流,物流公司与技术伙伴合作,物流,菜鸟网、亚马逊,智能物流系统通过无人机与AI技术，提升货物运输的效率和准确性。,物流科技网,https://www.logistics-tech.com,2024-10-17,,,,
智慧城市安全系统,监控视频分析、数据处理,政府机构与大数据公司合作,城市居民,国际大数据公司、深圳大学,已商用,提升城市安全与应急响应能力,智能监控与预警系统,城市安全,政府机构与大数据公司合作,公共安全,国际大数据公司、深圳大学,智慧城市安全系统通过数据分析与监控视频，为城市安全提供全面保障。,城市安全论坛,https://www.citysaforum.com,2024-10-17,,,,
环境监测智能系统,传感器网络、数据分析,环境组织与研究机构合作,环保组织,清华大学、北京环保局,在研,提高环境监测的准确性与及时性,部署传感器监测环境数据,环境保护,环境组织与研究机构合作,环保,清华大学、北京环保局,环境监测智能系统运用传感器与AI数据分析提升环境保护措施的有效性。,环保科技观察,https://www.environmenttechwatch.com,2024-10-17,,,,
智能农业管理系统,农作物监测、数据分析,农业企业与高校合作,农业生产,中国农业大学、瑞士联邦理工学院,在研,提高农作物产量与资源利用率,利用AI技术进行作物生长预测与灌溉管理,农业科技,农业企业与高校合作,农业,中国农业大学、瑞士联邦理工学院,智能农业管理系统通过AI分析气候与土壤数据，提高农作物生产效率。,农业信息网,http://www.agri-info.com,2024-10-17,,,,
智能城市监控系统,视频监控、行为识别,政府与技术公司合作,城市管理,IBM、阿里巴巴,在研,提升城市安全与管理效率,利用AI技术进行实时视频分析与行为识别,城市管理,政府与技术公司合作,公共服务,IBM、阿里巴巴,智能城市监控系统通过实时视频分析，提高城市安全及事件响应速度。,智能城市观察,https://www.smartcityobservation.com,2024-10-17,,,,
个性化教育辅助系统,教育辅导、学习分析,学校与教育科技公司合作,中小学生,腾讯、好未来,在研,提高学习效率与个性化教育体验,AI为学生提供个性化学习计划与反馈,教育,学校与教育科技公司合作,教育,腾讯、好未来,个性化教育辅助系统利用AI分析学生学习数据，提供定制化的学习方案。,教育技术杂志,https://www.edtechmagazine.com,2024-10-17,,,,
智能气候预报系统,预测建模、数据分析,气象局与研究机构合作,城乡居民,国家气候中心、剑桥大学,在研,提高气候预报精准度,利用AI模型分析气象数据进行长期气候预测,气象,气象局与研究机构合作,公共服务,国家气候中心、剑桥大学,智能气候预报系统通过AI分析历史气象数据，提供更加精准的气候预测。,气象科学网,http://www.weather-science.com,2024-10-17,,,,
智能语音翻译系统,自然语言处理、即时翻译,科技公司开发与用户反馈,国际交流者,中型,已商用,提升跨语言沟通效率,提供实时语音翻译服务,翻译与交流,科技公司自营,信息技术,无,智能语音翻译系统利用AI实现跨语言的即时语音翻译，提升国际交流能力。,科技前沿,https://www.techfrontier.com,2024-10-17,,,,
智慧能源管理系统,能源监测、数据优化,企业与政府合作,能源生产与消费,大型,在研,提高能源使用效率与可再生能源比例,利用AI进行能耗监测与优化,能源,企业与政府机构合作,能源,电力科学研究院、哈佛大学,智慧能源管理系统通过AI监测与分析能耗，促进能源高效利用。,能源日报,https://www.energynews.com,2024-10-17,,,,
智能金融风险评估系统,数据分析、风险管理,金融机构开发与合作,投资者与金融机构,大型,已商用,降低金融风险，提高投资安全性,利用AI评估市场风险与客户信用,金融,金融机构与科技公司合作,金融,JPMorgan、平安银行,智能金融风险评估系统通过AI分析金融数据，实现对风险的前瞻性评估与管理。,金融科技论坛,https://www.financeforum.com,2024-10-17,,,,
智能健身教练系统,健康监测、个性化建议,科技公司与健身品牌合作,健身爱好者,中型,在研,提升健身效果与健康水平,AI制定个性化健身计划与饮食建议,健康科技,科技公司与健身品牌合作,健康,Fitbit、Keep,智能健身教练系统通过AI分析用户数据，提供个性化的健身与饮食指导。,健康科技网,https://www.healthtech.com,2024-10-17,,,,
智慧旅游推荐系统,推荐系统、用户分析,旅行社与技术公司合作,旅行者,中型,在研,提升用户旅游体验,利用用户偏好制定个性化旅行计划,旅游,旅行社与技术公司合作,旅游,携程、Travelocity,智慧旅游推荐系统利用AI分析用户数据，提供个性化的旅行推荐。,旅游评论网,https://www.tourismreview.com,2024-10-17,,,,
智能农业系统,精准农业、农作物监测,农业公司与科研机构合作,农业生产,约翰迪尔、阿里巴巴,在研,提高作物产量，减少水资源浪费,利用图像识别与传感器监测作物生长,农业技术,农业公司与科研机构合作,农业,约翰迪尔、阿里巴巴,智能农业系统通过AI监测作物，精准灌溉，提高农业生产效率。,农业科技网,https://www.agri-tech.com,2024-10-17,,,,
情感分析平台,自然语言处理、情感计算,企业市场营销,市场营销团队,中型,已商用,提升市场活动的影响力,分析社交媒体上的用户反馈与评论,市场营销,企业与数据分析公司合作,商业服务,无,情感分析平台帮助企业了解客户情绪，优化市场策略。,数据科学论坛,https://www.datascienceforum.com,2024-10-17,,,,
智慧城市管理系统,城市管理、数据分析,城市政府与科技公司合作,城市居民,大型,在研,提升城市基础设施管理效率,利用数据分析优化城市资源配置,城市规划,政府与科技公司合作,城市管理,无,智慧城市管理系统通过AI提升城市资源管理效率，改善城市生活质量。,城市发展研究院,https://www.citydevelopment.org,2024-10-17,,,,
