名称（字符型）,品牌（字符型）,型号（字符型）,售后服务（字符型）,操作系统（字符型）,生产厂商（字符型）,主处理器（字符型）,芯片（字符型）,操作方式（字符型）,仿生工具（字符型）,功能说明（字符型）,应用场景（字符型）,上市时间（日期型）,采集来源,来源链接,采集时间,备注
智能咖啡机,Nespresso,Essenza Mini,两年保修,Nespresso App,Nestlé Nespresso S.A.,ARM Cortex-M0,Atmel ATmega,触控与APP控制,饮品管理工具,自动冲泡、咖啡口味建议,家庭饮品制作,2023-01-25,饮品文化杂志,https://www.beverageculture.com,,
智能洗衣机,LG,TWINWash,三年保修,LG ThinQ,LG Electronics,ARM Cortex-A7,Intel Quark,APP控制与语音,衣物管理助手,多种洗涤模式、能耗监控,家庭洗涤,2022-10-20,智能家电论坛,https://www.smartappliancesforum.com,,
智能衣柜,Samsung,Smart Closet,两年保修,SmartThings,Samsung Electronics,ARM Cortex-A55,Nordic Semiconductor nRF52,触控与APP控制,衣物管理工具,智能搭配推荐、衣物清洁监测,家庭衣物管理,2023-04-15,穿衣时尚杂志,https://www.fashionstyle.com,,
智能健康秤,Withings,Body Cardio,两年保修,Withings App,Withings S.A.,ARM Cortex-M4,Nordic nRF52480,APP控制,健康监测工具,体重、心率监测,家庭健康管理,2021-09-30,健康科技评论,https://www.healthreview.com,,
智能控制面板,Control4,Smart Panel,五年保修,Control4 OS,Control4 Corporation,ARM Cortex-A72,Qualcomm Snapdragon 600,触控与语音控制,智能家居管理工具,设备集中控制、场景设置,家庭智能控制,2022-03-15,智能家居平台,https://www.smartlife.com,,
智能宠物喂食器,PetSafe,Smart Feed,一年保修,PetSafe App,PetSafe Brand,ARM Cortex-M3,TI CC26x,APP控制,宠物管理助手,定时喂食、饲料监测,家庭宠物管理,2022-07-10,宠物科技杂志,https://www.pettimes.com,,
智能花草养护系统,Click & Grow,Smart Garden 3,两年保修,Click & Grow App,Click & Grow,ARM Cortex-M0,ESP8266,APP控制,植物生长助手,自动浇水及营养供给,家庭植物养护,2023-02-05,园艺创新杂志,https://www.gardeninginnovations.com,,
智能空气净化器,小米,Mi Air Purifier 3,三年保修,Mi Home OS,小米科技,ARM Cortex-M0,Realtek RTL8195,APP控制,空气质量监测工具,智能滤网更换提醒，实时空气质量监测,家庭环境,2022-05-25,家居生活报告,https://www.xiaomi.com,,
智能洗衣机,海尔,XQG80-H9,五年保修,Haier Smart OS,海尔集团,ARM Cortex-M7,TI MSP430,APP与语音控制,家庭洗护助手,智能洗涤程序，节水潜力,家庭洗衣,2023-02-10,家电行业动态,https://www.haier.com,,
智能窗帘控制器,智狐,ZHI-F120,两年保修,ShiTeng OS,智狐科技,Cortex-M3,NXP LPC824,APP控制,光照自动调节器,智能调节窗帘，保持室内隐私,家庭居住,2023-03-15,智能家居论坛,https://www.zhiwo.com,,
智能家居中心,Google,Nest Hub,三年保修,Google Nest OS,Google LLC,ARM Cortex-A53,NXP-i.MX 8M,触控与语音控制,家庭控制面板,整合家庭智能设备，管理家庭生活,智能家庭,2021-10-15,科技新闻平台,https://store.google.com,,
智能冰箱,三星,RF23M8090SR,五年保修,Samsung Smart Hub,三星电子,ARM Cortex-A15,Marvell Armada 370,触控与APP,食品管理助手,监测食物过期，健康食谱推荐,家庭厨房,2022-08-05,家电科技展会,https://www.samsung.com,,
智能灯光控制系统,飞利浦,Hue Bridge,两年保修,Philips Hue OS,飞利浦,ARM Cortex-M0,Lumenpulse LP-25,APP与语音控制,智能照明助手,分区控制，定时开关,家庭照明,2023-01-25,照明技术周刊,https://www.philips.com,,
智能健康手环,华为,Band 6,两年保修,Huawei Health OS,华为技术有限公司,ARM Cortex-M4,Nordic Semiconductor,触控与APP,健康追踪工具,心率监测，睡眠分析,家庭健康,2021-06-30,健康科技频道,https://consumer.huawei.com,,
智能宠物喂食器,PetSafe,Smart Feed,三年保修,PetSafe OS,Whisker,ARM Cortex-A7,PSoC 5LP,APP控制,宠物健康管理,定时喂食，食量监控,家庭宠物,2022-12-10,宠物护理杂志,https://www.petsafe.com,,
智能饮水机,伊利,Ili Water Smart,一年保修,Ili Smart OS,伊利集团,ARM Cortex-M4,Atmel SAMD21,APP与触控控制,饮水管理助手,智能监测饮水量，饮水提醒,家庭健康,2023-04-02,健康饮水研究报告,https://www.ili.com,,
智能温控器,Ecobee,SmartThermostat,三年保修,Ecobee OS,Ecobee Inc.,ARM Cortex-A53,Qualcomm QCA4020,APP与语音控制,家庭温控助手,智能温度调节，节能管理,家庭节能,2022-09-22,智能家居市场分析,https://www.ecobee.com,,
智能声控扬声器,亚马逊,Echo Dot,一年保修,Amazon Alexa OS,Amazon,ARM Cortex-A53,MediaTek MT7688,语音控制,家庭助手,语音助手，音乐播放,家庭娱乐,2020-11-24,智能语音市场调研,https://www.amazon.com,,
智能草坪割草机,Bosch,Indego S+,两年保修,Bosch Smart Gardening OS,Bosch,ARM Cortex-M4,Texas Instruments CC2650,APP控制,园林维护助手,自动割草，区域管理,家庭草坪,2023-06-01,园艺科技论坛,https://www.bosch.com,,
智能温室监控系统,AgriTech,Greenhouse Pro,三年保修,AgriTech OS,AgriTech Solutions,ARM Cortex-M7,STMicroelectronics STM32,APP与传感器输入,温室环境监测器,实时环境监控，自动化控制,温室种植,2023-08-10,农业科技期刊,https://www.agritech.com,,
智能指纹锁,沃尔玛,Smart Lock 3000,三年保修,Walmart Smart Security OS,沃尔玛,ARM Cortex-A53,VeriFinger 10.0,指纹与APP控制,家庭安全助手,指纹识别，远程监控,家庭安全,2022-11-20,家居安全展览,https://www.walmart.com,,
智能胎压监测系统,特斯拉,TPMS,四年保修,Tesla Smart System,特斯拉汽车,ARM Cortex-A9,TI CC2650,APP控制,车辆监控助手,实时胎压监测与预警,家庭汽车,2023-05-30,汽车科技研究,https://www.tesla.com,,
智能窗帘控制系统,Philips,Hue Smart Blinds,两年保修,Philips OS,Signify,ARM Cortex-M0,Nordic nRF52832,APP控制与语音控制,环境调节器,根据自然光自动调节窗帘开合,家庭客厅,2022-05-01,智能家居评测网,https://www.smartlivingreviews.com,,
智能冰箱,三星,RF28R7351SR,三年保修,Samsung Smart Hub,三星电子,Exynos 7870,Marvell ARMADA 3720,触控与APP控制,食品管理助手,智能预测食物存储，并提醒过期,家庭厨房,2023-02-20,家庭电器市场报告,https://www.applianceindustryreport.com,,
智能门锁,Yale,YRD256,五年保修,Yale Smart Living,Assa Abloy,ARM Cortex-M3,Microchip PIC16F1789,指纹与APP控制,家庭安保助手,实时监控与远程解锁,家庭入口,2021-11-10,安全技术期刊,https://www.securitytechjournal.com,,
智能音响,Apple,HomePod Mini,一年保修,Apple HomePod OS,苹果公司,Apple S5,Apple W1,语音控制,家庭助手,智能控制家居设备与语音助手,家庭娱乐,2020-11-06,消费电子评论,https://www.consumerelectronicsreview.com,,
智能灯光系统,TP-Link,Kasa Smart Bulbs,两年保修,TP-Link Kasa,TP-Link Technologies,ARM Cortex-M4,Espressif ESP8266,APP控制与语音控制,环境调节助手,智能调节灯光亮度与色彩,家庭各房间,2021-08-25,智能家居论坛,https://www.smarthomeforum.com,,
智能温控器,Nest,Learning Thermostat,两年保修,Nest OS,Google,ARM Cortex-A8,Qualcomm Snapdragon 410,触控与APP控制,家庭能效助手,自动学习用户习惯以优化温控,家庭温控,2020-09-15,智能家居发展报告,https://www.smarthomedevelopment.com,,
智能花盆,Parrot,Parrot Pot,两年保修,Parrot OS,Parrot SA,ARM Cortex-M4,Espressif ESP32,APP控制,植物护理助手,自动浇水与土壤监测,家庭园艺,2021-06-01,园艺技术论坛,https://www.gardenforum.com,,
智能空气净化器,小米,Mi Air Purifier 3,两年保修,Mi Home,小米科技,ARM Cortex-M4,Realtek RTL8189,触控与APP控制,室内空气质量监测器,实时监测空气质量并自动净化,家庭办公,2022-03-15,环保科技杂志,https://www.greentechmag.com,,
智能洗衣机,LG,WM3500CW,三年保修,LG ThinQ,LG电子,ARM Cortex-A8,Qualcomm QCA9531,触控与APP控制,洗衣管理助手,提供远程洗衣跟踪与优化衣物洗涤,家庭洗衣房,2023-05-20,家电创新论坛,https://www.applianceinnovationforum.com,,
智能垃圾桶,Simplehuman,Sensor Can,五年保修,Simplehuman App,Simplehuman Inc.,ARM Cortex-M0,Nordic nRF52810,感应控制,家庭清洁助手,自动开盖与关闭，垃圾分类提醒,家庭厨房,2022-09-10,智能生活杂志,https://www.smartlivingmag.com,,
智能健身设备,Fitbit,Versa 3,一年保修,Fitbit OS,Fitbit Inc.,ARM Cortex-M4,Texas Instruments CC2640R2F,触控与APP控制,健康管理工具,日常活动监测与健康状态追踪,家庭健身,2021-01-01,健康科技评测,https://www.healthtechreview.com,,
智能水壶,Hydra,Smart Water Bottle,一年保修,Hydra OS,Hydra Labs,ARM Cortex-M0,Espressif ESP8266,APP控制,健康饮水助手,提醒补水，记录饮水量,家庭健康管理,2023-03-15,健康生活期刊,https://www.healthylifesource.com,,
智能宠物喂食器,PetSafe,Smart Feed,一年保修,PetSafe OS,PetSafe Inc.,ARM Cortex-M3,Microchip ATmega328,APP控制,宠物喂养助手,定时喂食与喂食量监控,家庭养宠,2023-04-01,宠物照护科技论坛,https://www.petsafetechnology.com,,
智能小家电控制中心,Amazon,Echo Show 10,一年保修,Fire OS,亚马逊,MediaTek MT8163,Qualcomm Snapdragon 410,语音控制与触控,家庭控制中心,语音助手控制家居设备,家庭控制中心,2022-12-10,消费电子评测,https://www.consumerelectronicsreview.com,,
智能窗帘控制系统,IKEA,FYRTUR,两年保修,IKEA Smart Home,IKEA Systems,ARM Cortex-A53,Nordic Semiconductor nRF52832,语音控制与APP,室内环境调节工具,自动调节光线，增强隐私,家庭生活,2022-03-20,家居电子杂志,https://www.homedecor.com,,
智能冰箱,海尔,BCD-521W,三年保修,Haier Smart OS,海尔集团,ARM Cortex-A8,Texas Instruments AM335x,触控与APP控制,食品管理助手,智能温控，过期提醒,智能厨房,2023-05-25,家电评测网站,https://www.applianceevaluation.com,,
智能洗衣机,三星,WW22K6800AW,四年保修,Samsung SmartThings,三星电子,ARM Cortex-A53,Espressif ESP8685,APP控制,洗衣管理助手,智能洗涤控制，节水模式,家庭清洁,2022-09-30,洗衣机行业研究,https://www.washingmachineresearch.com,,
智能音响,小米,XiaoAI Speaker,一年保修,XiaoAI OS,小米科技,ARM Cortex-A7,MediaTek MT8167A,语音控制,家庭娱乐助手,音乐播放，智能家居控制,家庭娱乐,2021-11-15,科技电子新闻,https://www.techelectronics.com,,
智能窗户监测系统,Nest,Nest Secure,五年保修,Nest OS,Google,ARM Cortex-A9,Qualcomm Snapdragon 410,APP控制,安全管理助手,实时窗户安全监测，报警功能,家庭安防,2023-06-18,家庭安全分析报告,https://www.homesecurityanalytics.com,,
智能垃圾桶,智能生活,Auto Trash 2.0,一年保修,Smart Home OS,智能生活有限公司,ARM Cortex-M4,Raspberry Pi Zero,触控与APP控制,环境管理助手,自动开盖，垃圾分类,家庭清洁,2023-02-14,家居科技网站,https://www.smartlivingtech.com,,
智能空气净化器,Dyson,Pure Cool Link,五年保修,Dyson Link App,Dyson Ltd.,ARM Cortex-A57,Texas Instruments CC3200,APP控制,空气质量助手,空气监测，净化功能,家庭健康,2022-05-05,环境科技评测,https://www.environmentaltechreviews.com,,
智能宠物喂食器,PetSafe,Smart Feed,三年保修,Petsafe App,PetSafe Company,ARM Cortex-M4,Espressif ESP8266,APP控制,宠物管理助手,定时喂食，食量监控,家庭宠物管理,2023-04-01,宠物科技杂志,https://www.pettechmag.com,,
智能温控阀,Honeywell,RTH9585WF,三年保修,Honeywell Home,霍尼韦尔国际,ARM Cortex-A9,Microchip PIC32MZ,APP控制,家庭温控助手,自动温控，节能减排,智能家居,2021-10-10,家居设备分析,https://www.homedvice.com,,
智能热水器,美的,Midea D50,五年保修,Midea Smart OS,美的集团,ARM Cortex-A53,STM32F429,APP控制,热水管理助手,智能加热，预约功能,家庭热水管理,2023-08-21,家庭设备市场调查,https://www.homeapplianceinsights.com,,
智能儿童监控器,Lollipop,Smart Baby Monitor,两年保修,Lollipop App,Lollipop Technologies,ARM Cortex-M4,Ambarella S2L,APP控制,儿童安全助手,实时视频监控，睡眠分析,家庭育儿,2022-12-01,育儿科技杂志,https://www.parentingtechmonthly.com,,
智能门锁,August,Smart Lock Pro,三年保修,August App,August Home,ARM Cortex-A7,Nordic Semiconductor nRF52840,APP控制与生物识别,安全门禁管理工具,实时门禁监控，远程开关,家庭安全,2023-07-05,安全设备评测,https://www.safetyreviews.com,,
智能吸尘器,iRobot,Roomba i7+,五年保修,iRobot OS,iRobot Corporation,ARM Cortex-A53,Qualcomm Snapdragon 410,APP控制与语音,家庭清洁助手,智能路径规划，自动回充,家庭清洁,2022-11-11,清洁机器人研究,https://www.roboticleaningreviews.com,,
智能运动追踪器,Fitbit,Versa 3,两年保修,Fitbit OS,"Fitbit, Inc.",ARM Cortex-M4,Nordic nRF52832,APP控制,健康管理助手,实时心率监测，健康追踪,家庭健康管理,2023-03-01,健康科技评论,https://www.healthtechreviews.com,,
智能洗衣机,海尔,HW100-12J,三年保修,Haier Smart OS,海尔集团,ARM Cortex-A9,ATMEL ATmega,APP控制与语音控制,洗衣管理助手,智能识别衣物材质，自动选择洗涤模式,家庭洗衣,2022-08-01,家电消费报告,https://www.appliances.com,,
智能冰箱,美的,BCD-520WTPZM,五年保修,Midea OS,美的集团,Cortex-M4,Texas Instruments TMS320,触摸屏和APP控制,食材管理工具,智能食材识别，温湿度调控,家庭食材存储,2023-03-09,智能家居展,https://www.smartlivingexpo.com,,
智能足浴器,小米,Xiaomi Foot Spa,一年保修,MIUI OS,小米科技,ARM Cortex-M3,NXP LPC1768,APP控制,健康管理工具,智能温度调节，按摩模式,家庭保健,2023-05-30,健康产品评测,https://www.healthreview.com,,
智能音响,苹果,HomePod Mini,两年保修,HomePod OS,苹果公司,Apple S5,Apple H1,语音助手控制,家居控制中心,语音控制家庭设备，音乐播放,家庭娱乐,2020-11-06,科技产品点评,https://www.techreview.com,,
智能空气净化器,Dyson,TP01,两年保修,Dyson Link,Dyson Limited,ARM Cortex-A7,STMicroelectronics STM32,APP控制,空气质量监测器,实时空气质量监测，智能滤网更换提醒,家庭健康管理,2021-06-22,环境科技杂志,https://www.environmenttech.com,,
智能灯光控制系统,Philips,Hue White and Color Ambiance,四年保修,Philips Hue App,Philips Lighting,ARM Cortex-M0,Microchip PIC,APP控制与语音指令,居家氛围调节工具,智能灯光调节，节能模式,家庭照明,2022-09-10,智能家居指南,https://www.smarthomesguide.com,,
智能宠物喂食器,PetSafe,SmartFeed,两年保修,PetSafe Smart App,PetSafe Brand,ARM Cortex-M4,Espressif ESP8266,APP控制,宠物健康管理工具,定时喂食，摄食量监控,家庭宠物护理,2023-07-20,宠物用品评测,https://www.petsupplies.com,,
智能家居中控系统,Samsung,SmartThings Hub,三年保修,SmartThings OS,三星电子,ARM Cortex-A8,Broadcom BCM2837,APP控制与语音助手,智能家居管理工具,集中控制所有智能设备，简化操作,家庭智能化,2021-05-15,智能科技新闻,https://www.smartnews.com,,
智能透析仪,B. Braun,Dialog+,五年保修,B.Braun System,B. Braun Melsungen AG,ARM Cortex-7,Texas Instruments TMS320,APP与物理控制,医疗健康管理工具,在线监测透析数据，提醒医生,家庭医疗,2023-04-12,医疗器械评测,https://www.medicaldevicesreviews.com,,
智能窗帘系统,Lutron,Caseta Wireless,三年保修,Lutron App,Lutron Electronics,ARM Cortex-R4,Microchip PIC,APP控制,室内光照调节工具,根据光线自动调节窗帘开合,家庭环境改善,2023-02-25,家居改善指南,https://www.homedecorating.com,,
智能饮水机,TCL,WD-101,两年保修,TCL Smart OS,TCL科技,ARM Cortex-A8,Infineon XMC1200,APP与触控,水质监测工具,智能水质检测，自动出水,家庭饮水,2023-06-15,饮用水健康报告,https://www.drinkingwaterhealth.com,,
智能健身手环,Fitbit,Versa 3,一年保修,Fitbit OS,Fitbit Inc.,ARM Cortex-M33,Nordic Semiconductor nRF52840,APP与触控,健康监测工具,心率监测，睡眠跟踪,家庭健康管理,2023-01-05,健康科技展览,https://www.healthtechexpo.com,,
智能厕所马桶,Toto,Washlet S550e,三年保修,Toto Smart OS,Toto Ltd.,ARM Cortex-A9,NXP LPC54000,遥控与APP控制,卫生管理工具,智能冲水，座温调节,家庭卫生,2022-11-10,浴室设备评测,https://www.bathroomequipreview.com,,
智能咖啡机,Breville,BES870XL,两年保修,Breville Smart OS,Breville Group,ARM Cortex-M7,NXP FRDM-K64F,触控与APP控制,饮品管理助手,精确温控，磨豆功能,家庭饮食,2022-02-14,饮品设备评测,https://www.beverageequipmentreview.com,,
智能显示镜子,Samsung,MirrorView,两年保修,Samsung Interactive OS,三星电子,ARM Cortex-A55,Broadcom BCM2711,触控与语音控制,美容管理工具,显示天气、时间及社交通知,家庭美容,2023-01-12,智能家居趋势报告,https://www.smartlivingtrends.com,,
智能窗帘控制系统,Xiaomi,Smart Curtain DC-02,两年保修,MiOS,小米科技,ARM Cortex-M3,ESP8266,APP控制,家居自动化助手,自动调节窗帘开合，环境光线感应,家庭智能家居,2022-05-12,智能家居展会,https://www.xiaomi.com,,
