品牌,面料,科技含量,特点,主要产品,采集来源,来源链接,采集时间,备注
Outdoor Research,GORE-TEX、Thermal-R,高,防水透气、高保暖性,露营服、登山鞋,户外运动展,https://www.outdoorresearch.com/,,
Lands' End,Smart Span、CoolCC,中,舒适、耐磨、快干,休闲外套、冬季服装,公司官网,https://www.landsend.com/,,
安踏,Thermo-Dry、SmartComfort,高,保暖、透气、抗UV,冬季运动服、滑雪装备,运动品牌展会,https://www.anta.com/,,
李宁,ACG棉、EcoLite,高,轻便、环保、抗皱,居家服、休闲服,品牌官网,https://www.lining.com.cn/,,
新百伦,Fresh Foam、Hypoknit,高,舒适、适应性强、减震,跑步鞋、健身鞋,公司社交媒体,https://www.newbalance.com.cn/,,
Under Armour,UA Tech、Threadborne,高,速干、轻量、舒适贴身,运动T恤、长裤,官方网站发布,https://www.underarmour.cn/,,
特步,年年青棉、Zero-Gravity,中,柔软、耐磨、适合日常,休闲运动鞋、短裤,在线市场调查,https://www.xtep.com.cn/,,
PUMA,NITRO Foam、CottonBlend,高,舒适透气、轻盈、反弹性好,瑜伽裤、训练服,时尚杂志,https://www.puma.com.cn/,,
Gap,StayDry、Eco-Cotton,中,抗皱、亲肤、透气,休闲T恤、牛仔裤,公司发布会,https://www.gap.cn/,,
猛犸象,Colorfast、Thermolite,高,色牢度好、保温性强,户外装备、登山服,社群反馈,https://www.mammut.cn/,,
H&M,Bamboo Rayon、Recycled Poly,中,环保、透气、柔软,时尚运动服、居家服,线上品牌发布,https://www.hm.com.cn/,,
FILA,PowerVapor、DynamicStretch,高,快速干燥、弹性强、耐磨,网球服、运动鞋,运动市场研究,https://www.fila.cn/,,
好的,AeroFlux、FlexMesh,高,轻薄、透气、科技感,跑步装备、训练服,公司官网,https://www.nike.com/,,
Adidas,Primaloft、CLOUDFOAM,高,抗风、保暖、舒适,滑雪装、休闲鞋,欧盟运动展,https://www.adidas.com.cn/,,
决胜,FlexTech、HydraGuard,高,防水、速干、舒适,远足鞋、户外服装,运动类博主,https://www.juex.com/,,
ASICS,GEL、FlyteFoam,高,减震、舒适、协调性好,跑步鞋、健身服,现当代服装展,https://www.asics.com.cn/,,
Mizuno,AeroWarm、DryLite,高,轻量、抗风、透气,跑步服、训练鞋,社交媒体评测,https://www.mizuno.cn/,,
Lululemon,Warpstreme、Luon,中,环保、柔软、适合运动,瑜伽服、健身服,健身活动展示,https://www.lululemon.com/,,
Desigual,Soft-Feel、Regenerated Fibers,中,舒适、耐磨、色彩丰富,休闲装、手袋,国际时尚展,https://www.desigual.com/,,
New Balance,NB Dry、Fresh Foam,高,抗菌、透气性好、轻便,跑步鞋、休闲鞋,公司官网,https://www.newbalance.cn/,,
Under Armour,HeatGear、UA Tech,高,速干、舒适、抗异味,运动衫、跑步短裤,运动装备展览,https://www.underarmour.com.cn/,,
H&M,Recycled Polyester、Lycra,中,环保、弹性好、舒适,运动外套、休闲服,时尚杂志,https://www.hm.com/,,
Champion,PowerBlend、EcoSmart,中,柔软、耐用、舒适,运动卫衣、运动裤,社交媒体调查,https://www.champion.com/,,
Asics,GEL、Flyshell,高,减震、轻便、防风,跑步鞋、护膝,运动科学期刊,https://www.asics.com/,,
Li-Ning,Aero Mesh、Retina Fiber,高,透气、耐磨、轻便,篮球鞋、运动服,公司官网,https://www.lining.com/,,
FILA,CoolMax、Polyester Blend,中,快速干燥、弹力好、耐用,运动服、休闲鞋,消费者反馈,https://www.fila.com.cn/,,
Puma,PUMAGRIP、Clyde,高,卓越抓地力、舒适、时尚,跑步鞋、滑板鞋,时尚博览会,https://www.puma.com/,,
Reebok,Cotton Blend、Flexweave,中,灵活、舒适、耐磨,健身鞋、训练服,专业展会,https://www.reebok.com.cn/,,
Columbia,Omni-Tech、Thermarator,高,防水、保暖、透气,户外夹克、鞋,户外活动体验,https://www.columbia.com.cn/,,
Alo Yoga,Airlift、Luxe,高,高弹性、透气、舒适,瑜伽服、运动内衣,运动时尚媒体,https://www.aloyoga.com/,,
Gymshark,Nexus、Vortex,高,抗拉伸、吸湿快干、轮廓修身,紧身衣、健身短裤,体育服饰展会,https://www.gymshark.com/,,
Lorna Jane,LJ recycled、Moisture wicking,高,环保、吸湿排汗、舒适,运动文胸、健身裤,时尚博览会,https://www.lornajane.com.au/,,
Athleta,Sustainably sourced Nylon、PowerStudio,高,环保、舒适、适合运动,运动装、瑜伽服,公司官网,https://athleta.gap.com/,,
Outdoor Research,GORE-TEX、Pertex,高,防水、轻量、透气,户外装备、徒步服,户外活动论坛,https://www.outdoorresearch.com/,,
Lululemon,Nulu、Luxtreme,高,柔软、速干、舒适,瑜伽裤、运动文胸,公司官网,https://www.lululemon.com/,,
The North Face,Futurelight、ThermoBall,高,防水透气、轻量、保暖,户外服装、滑雪装备,行业报告,https://www.thenorthface.com/,,
Billabong,Repreve、4-Way Stretch,中,环保、弹性大、吸水快干,冲浪服、海滩服,文化节参展,https://www.billabong.com/,,
New Balance,Fresh Foam、NB Dry,高,轻量、透气、减震,跑步鞋、运动拖鞋,行业展会,https://www.newbalance.cn/,,
Lululemon,Nulu、Nash,高,极致柔软、吸湿排汗、超轻,瑜伽裤、运动内衣,用户反馈调查,https://www.lululemon.cn/,,
Under Armour,UA Tech、HeatGear,高,快干、耐磨、舒适贴身,训练服、运动背心,公司官网,https://www.underarmour.cn/,,
哥伦比亚,Omni-Wick、Omni-Shade,高,透气、防晒、速干,户外夹克、运动衫,专业评测网站,https://www.columbia.com.cn/,,
PUMA,NITRO、PUMAGRIP,高,高弹性、极致抓地力、舒适性强,跑鞋、训练鞋,社交媒体调查,https://www.puma.com.cn/,,
Uniqlo,AIRism、BlockTech,中,舒适透气、技术面料、防风,休闲外套、运动衫,市场调研,https://www.uniqlo.cn/,,
ASICS,FlyteFoam、GEL,高,轻盈、高效能、避震效果,跑步鞋、健身鞋,公司发布,https://www.asics.com/,,
H&M,Re:Down、Bamboo,中,环保材料、保暖、舒适,外套、休闲衫,可持续发展报告,https://www.hm.com/,,
Vans,UltraCush、Canvas,中,耐磨、经典设计、舒适度高,滑板鞋、休闲鞋,线上零售数据,https://www.vans.com.cn/,,
Arc'teryx,GORE-TEX、Coreloft,高,防水、透气、轻盈保暖,登山夹克、户外装备,户外用品展,https://www.arcteryx.com/,,
FILA,Power Cushion、Coolmax,高,高弹性、透气、舒适,运动鞋、休闲鞋,品牌推广活动,https://www.fila.com.cn/,,
The North Face,ThermoBall、Futurelight,高,高保暖性、透气性、防风,羽绒服、冲锋衣,环保材料声明,https://www.thenorthface.com.cn/,,
Lands' End,Luxe Cashmere、Windproof,中,柔软、耐寒、舒适,毛衣、外套,市场调研,https://www.landsend.com/,,
Lacoste,Piqué、Technical Stretch,中,优雅、透气、舒适贴身,Polo衫、休闲裤,品牌官网,https://www.lacoste.com.cn/,,
Brooks,DNA Loft、GuideRails,高,超轻、优质缓震、稳定支撑,跑步鞋、训练鞋,用户评测活动,https://www.brooksrunning.com/,,
Etnies,Eco-Friendly Rubber、Duracap,中,耐用、创新设计、舒适,滑板鞋、活动鞋,可持续发展活动,https://www.etnies.com/,,
Patagonia,Recycled Polyester、H2No,高,防水、耐磨、环保,冲锋衣、户外背包,环保与责任宣言,https://www.patagonia.com.cn/,,
Oiselle,SilkLight、Dynasty,中,优雅、透气、适合多场合,运动裙、休闲服,公司更新,https://www.oiselle.com/,,
Under Armour,UA Microthread、HeatGear,高,快干、轻盈、透气,运动衫、紧身运动裤,行业展会,https://www.underarmour.cn/,,
Lululemon,Nulu、Lyocell,高,极致舒适、柔软、吸湿,瑜伽裤、运动背心,消费者调查,https://www.lululemon.com/,,
新百伦,Fresh Foam、Hypoknit,高,减震、舒适性高、灵活,跑步鞋、训练鞋,公司官网,https://www.newbalance.cn/,,
哥伦比亚,Omni-Tech、Omni-Heat,高,防水、保暖、透气,外套、滑雪服,行业杂志,https://www.columbia.com.cn/,,
阿迪达斯,AEROREADY、CLIMALITE,高,吸湿排汗、透气、耐磨,运动短裤、凉爽运动服,公司官网,https://www.adidas.com.cn/,,
PUMA,NITRO、CELL,高,反弹性好、舒适、轻盈,跑步鞋、运动服,用户评价,https://www.puma.com.cn/,,
Reebok,Flexweave、Cotton,中,耐用、透气、灵活,训练鞋、健身服,健身博客,https://www.reebok.com.cn/,,
李宁,轻质网面、抗菌纤维,高,透气、抗菌、舒适,运动鞋、运动服,产品发布会,https://www.lining.com/,,
北面,Futurelight、Recycled Synthetic,高,防风、有弹性、环保,户外夹克、冲锋衣,户外博览会,https://www.thenorthface.com.cn/,,
H&M,Tencel、Recycled Polyester,中,柔软、环保、通透,休闲服、日常服装,公司新闻稿,https://www.hm.com/,,
特步,3D无缝技术、超轻网纱,高,轻便、无缝设计、舒适,跑步鞋、运动服,社交媒体营销,https://www.xtep.com.cn/,,
Etnies,Eco-Canvas、Recycled Rubber,中,环保、耐磨、时尚,滑板鞋、休闲靴,公司官网,https://www.etnies.com/,,
Under Armour,Iso-Chill、UA HOVR,高,散热效果好、缓震、舒适,训练鞋、运动服,用户反馈,https://www.underarmour.cn/,,
Nike,Flyknit、Nike Air,高,贴合舒适、响应快、透气,跑步鞋、运动外套,运动员访谈,https://www.nike.com.cn/,,
阿迪达斯,P.O.W.（完美水平）技术、透气材料,中,适合多重运动、透气性好,多功能运动鞋、运动服,行业评测,https://www.adidas.com.cn/,,
Nike,Dri-FIT、Flywire,高,增强支持、透气、快干,跑鞋、运动紧身衣,消费者反馈,https://www.nike.com.cn/,,
Patagonia,Merino Wool、Recycled Polyester,高,保暖、透气、环保,户外夹克、针织衫,环境友好产品发布,https://www.patagonia.com.cn/,,
New Balance,NB Dry、Fresh Foam,高,排湿、抗菌、舒适性好,跑鞋、运动服,产品说明书,https://www.newbalance.cn/,,
Lululemon,Nulu、Luxtreme,高,超柔软、弹性极佳、透气,瑜伽裤、运动文胸,公司官网,https://www.lululemon.com/,,
PUMA,PUMA Cloud Fox,中,中等舒适、轻量、适合日常,休闲鞋、运动服,用户反馈,https://www.puma.com.cn/,,
阿迪达斯,AEROREADY、Terrex,高,快速干燥、防水、耐磨,户外运动服、登山鞋,科技新品发布会,https://www.adidas.cn/,,
古驰,Eco-Friendly Blend,高,可持续性、奢华感、环保,时尚服装、高档包包,时尚杂志,https://www.gucci.com/,,
H&M,Tencel、Organic Cotton,中,环保、透气、不易变形,日常着装、休闲装,市场调研,https://www.hm.com/,,
安踏,Air Mesh、Super Light,高,通风良好、轻便、舒适,篮球鞋、跑步鞋,运动展会,https://www.anta.com/,,
361度,CoolMax、Rapid Dry,中,舒适、快速干燥、透气性好,赛车服、跑步装备,运动活动,https://www.361sport.com/,,
FILA,DryLite、Stretch Fit,高,高弹性、快速排湿、轻便,网球服、运动鞋,用户评测,https://www.fila.cn/,,
Columbia,Omni-Tech、Omni-Wick,高,防水、透气、舒适性好,速干衣、户外夹克,户外用品展,https://www.columbia.com/,,
Lands' End,Performance Knit、Canvas,中,耐用、易清洗、抗紫外线,休闲装、户外装备,顾客反馈,https://www.landsend.com/,,
Under Armour,UA Tech、Charged Cotton,高,快干、耐磨、透气,运动服、训练装备,体育自媒体,https://www.underarmour.cn/,,
北面 (The North Face),Futurelight、FlashDry,高,防水透气、高效吸湿,户外服装、背包,新产品发布会,https://www.thenorthface.cn/,,
Reebok,Speedwick、Workout Ready,中,高效透气、轻量设计,健身装备、训练鞋,在线评测,https://www.reebok.cn/,,
Nike,Flyknit、Nike React,高,贴合度、舒适性、轻巧,跑步鞋、训练鞋,科技评测中心,https://www.nike.com.cn/,,
Lululemon,Everlux、FulLux,高,双面穿、舒适、防水,运动防风夹克、压缩裤,时尚科技论坛,https://www.lululemon.com/,,
ASICS,FlyteFoam、GEL,高,减震、轻便、耐用,跑鞋、训练鞋,市场调研报告,https://www.asics.com/,,
Lululemon,Nulu、Luxtreme,高,超轻、透气性好、舒适,瑜伽服、运动裤,消费者反馈,https://www.lululemon.com/,,
Under Armour,UA Tech、Threadborne,高,速干、抗菌、可伸缩,运动T恤、休闲服,产品说明书,https://www.underarmour.com.cn/,,
New Balance,Fresh Foam、Hypoknit,中,舒适、弹性好、适合跑步,跑步鞋、健身鞋,行业分析文章,https://www.newbalance.cn/,,
Columbia,Omni-Tech、PFG,高,防水、透气、抗风,户外服、冲锋衣,公司公告,https://www.columbia.com/,,
Fila,CoolMax、Elastic,中,吸湿排汗、舒适,运动服、休闲鞋,产品展示会,https://www.fila.com.cn/,,
Saucony,PowerGrid、FlexFilm,高,卓越支撑、透气性强,跑鞋、训练鞋,体育科技媒体,https://www.saucony.com/,,
Gymshark,Energy、Flex,高,柔软、塑形、适合健身,运动服、健身紧身衣,社交媒体评价,https://www.gymshark.com/,,
PUMA,LITE-RUN、NITEBLOOM,中,轻量、反光、安全,轻便跑鞋、运动鞋,线上商城,https://www.puma.com/,,
The North Face,DryVent、ThermoBall,高,防风、保暖、环保,户外夹克、羽绒服,活动推介,https://www.thenorthface.com/,,
Reebok,Burnout、Cotton Blend,中,舒适、时尚、适合日常穿着,休闲服、运动T恤,顾客满意度调查,https://www.reebok.com/,,
Champion,Power Blend、Soft Touch,中,舒适、耐磨、经典设计,运动卫衣、休闲裤,综合体育展会,https://www.champion.com/,,
Lands' End,Canvas、Denim,中,耐用、时尚、适合户外活动,休闲裤、夹克,客户反馈,https://www.landsend.com/,,
H&M,Recycled Polyester、Organic Cotton,高,可持续发展、舒适、环保,时尚服饰、休闲服,企业社会责任报告,https://www.hm.com/,,
Adidas,AEROREADY、PRIMEKNIT,高,轻薄、透气、快干,运动服、训练装备,时尚杂志评测,https://www.adidas.com/,,
Outdoor Research,Pertex、GORE-TEX,高,极佳防水性、透气、耐磨,户外登山衣、雨衣,户外活动评估,https://www.outdoorresearch.com/,,
Nautica,Nautica Cotton、Wrinkle-Free,中,经典、抗皱、穿着舒适,休闲衬衫、短裤,商家促销活动,https://www.nautica.com/,,
Lands' End,Windbreaker、HydroPlus,中,防风、防水、轻量,户外风衣、运动夹克,产品回馈,https://www.landsend.com/,,
Zara,Lyocell、Recycled Fibers,高,环保、柔软、贴肤,时尚裙子、上衣,时尚新闻报道,https://www.zara.com/,,
New Balance,NB DRY、Fresh Foam,高,排汗、舒适性好、回馈性能强,跑步鞋、健身服,公司官网,https://www.newbalance.cn/,,
Under Armour,HeatGear、ColdGear,高,温控、透气、快速干燥,运动服、训练短裤,行业报告,https://www.underarmour.cn/,,
Li-Ning,复合材料、透气网,中,舒适、耐磨、透气性适中,羽毛球服、跑步鞋,用户评价,https://www.lining.com/,,
Adizero,Lightweight Mesh、Bounce,高,轻量、强弹性、舒适,专业跑步鞋、竞赛服,公司官网,https://www.adidas.com.cn/,,
Asics,FlyteFoam、GEL技术,高,适合长跑、减震效果好、透气性高,长跑鞋、运动外套,科技展,https://www.asics.com.cn/,,
Fjällräven,G-1000 Eco、Funktionsmaterial,高,耐用、防水、适合户外活动,登山服、背包,户外活动评论,https://www.fjallraven.com/,,
PUMA,NITRO Foam、AirMesh,高,极致舒适、良好透气性、减震,跑步鞋、休闲鞋,用户测评,https://www.puma.com.cn/,,
Columbia,Omni-Tech、Thermo Phillies,高,防水、防风、保暖,户外夹克、登山靴,公司公告,https://www.columbia.com.cn/,,
Lululemon,Luon、Nulu,中,舒适、伸展性好、适合瑜伽,瑜伽服、运动带,公司官网,https://www.lululemon.com.cn/,,
Alo Yoga,Airbrush、Vitanext,中,透气、快干、符合人体工学,运动裤、瑜伽吸管,行业杂志,https://www.aloyoga.com/,,
Vans,Duracap、UltraCush,中,提高耐磨性、舒适合脚,滑板鞋、休闲服,城市活动反馈,https://www.vans.com.cn/,,
Gymshark,Flex Fabric、Energy,高,弯曲适应、良好包覆性,运动服、压缩衣,公司发布,https://www.gymshark.com/,,
On Running,CloudTec、Helion,高,轻量、强反弹、舒适,跑步鞋、户外鞋,市场分析,https://www.on-running.com/,,
Uniqlo,AIRism、Ultra Stretch,中,透气、舒适、轻便,休闲服、基础单品,公司活动,https://www.uniqlo.com/,,
Mammut,DRYtech、Thermo Inner,高,防水、透气、保暖,户外夹克、登山裤,户外探险周,https://www.mammut.com/,,
H&M,Bamboo Fabric、Recycled Polyester,中,环保、舒适、适合日常穿着,轻便服装、休闲服,公司官网,https://www.hm.com.cn/,,
Arc'teryx,GORE-TEX、Coreloft,高,专业级防水、保暖、防风,徒步服、攀岩装备,专业资料,https://www.arcteryx.com/,,
Under Armour,UA Tech、Microthread,高,快干、抗臭、防紫外线,运动T恤、跑步短裤,公司官网,https://www.underarmour.com.cn/,,
Lululemon,Nulu、Luon,高,超柔软、四面弹性、透气,瑜伽裤、运动文胸,公司官网,https://www.lululemon.com/,,
