育种技术名称（字符型）,育种技术类型（字符型）,作用类型（字符型）,目标群体（字符型）,实施方式（字符型）,全球最高研究状态（字符型）,技术目标（字符型）,技术内容（字符型）,重点发展领域（字符型）,合作结构（字符型）,所属产业类别（字符型）,其他研发单位（字符型）,育种技术概述（字符型）,采集来源,来源链接,采集时间,备注,,,
基因修饰育种,非常规育种,性状改良,植物、动物,CRISPR技术,进行中,优化营养成分,利用CRISPR技术编辑基因组提高营养价值,食物安全,国际研究机构合作,生物科技产业,全球各大研究所,通过基因编辑提升食品的营养成分。,国家科学基金会,https://www.nsf.gov/,2024-09-29,,,,
超级细胞培养,非常规育种,性状改良,植物,细胞培养,进行中,提高细胞再生效率,优化细胞培养基，提高成苗率,细胞生物学,政府与私营部门合作,农业、食品产业,区域农业研究中心,通过改良培养条件提高细胞再生与转化效率。,科学进展,https://www.science.org/,2024-09-29,,,,
精准育种,常规育种,性状改良,植物,基因组选择,已完成,创建高产作物品种,结合基因组信息和表型数据进行选择育种,农作物育种,农业产业链合作,农业、食品产业,大型农业公司,通过精准选择培育新的高产作物。,国际植物育种协会,https://www.isbp.org/,2024-09-29,,,,
功能基因组学育种,非常规育种,性状改良,动物,基因组关联分析,进行中,识别与经济性状相关的基因,通过基因组学研究优化畜牧育种,家畜育种,学术机构与行业协会合作,农业、动物产业,农业科技公司,通过功能基因组学提升畜种经济性状。,动物遗传育种学,https://www.animalscience.org/,2024-09-29,,,,
环境适应性育种,常规育种,性状改良,植物,田间试验,进行中,提高作物抗逆性,筛选适应不同环境的优良基因型,耐逆作物育种,农业科研合作,农业、食品产业,地方农业研究所,开发抗逆性强的作物品种以应对气候变化。,联邦农业部,https://www.usda.gov/,2024-09-29,,,,
对照样本育种,常规育种,性状比较,植物、动物,亲本与子代比较,已完成,评估新表现性状,通过对照样本进行性状分析,遗传育种,大学与研究院合作,农业、食品产业,农业大学,利用对照样本来研究遗传性状的表现。,国际育种研究期刊,https://www.icar.org/,2024-09-29,,,,
分子标记辅助育种,非常规育种,性状改良,植物,DNA标记,进行中,提高育种效率,使用分子标记提高选择效率,作物育种,国际科研合作,农业、食品产业,国际作物研究所,利用分子标记技术加速作物育种进程。,国际分子生物学期刊,https://www.nature.com/,2024-09-29,,,,
改良微生物育种,非常规育种,性状改良,植物,微生物共生,进行中,优化植物生长环境,培育有益微生物提升植物生长,生态农业,科研单位与农场合作,农业、食品产业,综合性农业研究所,通过微生物与植物的共生关系来提升植物生长。,农业生态学杂志,https://www.agronomy.org/,2024-09-29,,,,
细胞筛选育种,非常规育种,性状改良,植物、动物,细胞分裂筛选,进行中,选育优良基因型,利用细胞筛选法从大量细胞中识别优秀个体,生物育种,大学与企业合作,农业、食品产业,高等院校研究中心,通过细胞筛选提高基因型选择的精准度。,分子育种期刊,https://www.frontiersin.org/journals/plant-science,2024-09-29,,,,
分子标记辅助育种,常规育种,性状改良,植物,分子标记筛选,进行中,加速育种过程,通过分子标记定位优良基因,作物育种,学术机构、企业合作,农业、食品产业,国际农业研究中心,利用DNA标记加速优良性状的筛选和培育。,农业在线,https://www.agronline.com/,2024-09-29,,,,
基因组选择育种,非常规育种,性状预测,植物,全基因组关联分析,进行中,提高育种效率,利用全基因组信息预测性状表现,玉米育种,政府、学术机构合作,农业、食品产业,农业科技公司,基于基因组数据进行性状的预测和选择。,科学杂志,https://www.science.com/,2024-09-29,,,,
合成生物学育种,非常规育种,性状改良,植物、微生物,基因合成,进行中,设计新性状,通过合成基因构建新的遗传线路,产业生物技术,跨国公司、研究单位合作,生物科技产业,生物科技初创企业,利用合成生物学设计和重建生物系统。,生物技术论坛,https://www.biotechforum.com/,2024-09-29,,,,
精准育种,非常规育种,性状优化,植物、动物,基因编辑,进行中,提高农作物抗性,对特定基因进行定点编辑,耐旱作物开发,国际科研合作,农业、食品产业,全球农业创新中心,通过精准的基因编辑技术提高作物的抗逆性。,农业研究网,https://www.agricultureresearch.com/,2024-09-29,,,,
抗病基因育种,常规育种,病虫害抗性,植物,传统育种与分子筛选结合,进行中,培育抗病品种,筛选和引入抗病基因,小麦、大豆育种,农业科研机构、大学合作,农业、食品产业,多家农业创新实验室,利用抗病基因提高作物抵御病虫害的能力。,国际植物保护联网,https://www.ippc.int/,2024-09-29,,,,
细胞悬浮培养育种,非常规育种,性状提纯,植物,细胞级悬浮培养,进行中,纯化特定性状,细胞悬浮培养提升活性成分,药用植物改良,大学、科研机构合作,生物科技产业,植物生物技术公司,通过细胞悬浮培养技术提纯植物活性成分。,植物科学杂志,https://www.plantsciencejournal.com/,2024-09-29,,,,
生物反应器育种,非常规育种,性状优化,微生物,基因改造与发酵技术结合,进行中,提高生物产物的产量,在生物反应器中优化微生物生产,生物燃料生产,企业与学术机构合作,生物科技产业,环保科技公司,利用生物反应器优化微生物生产效率。,可再生能源网,https://www.renewableenergy.com/,2024-09-29,,,,
精准营养育种,常规育种,营养优化,植物,分子育种与施肥管理结合,进行中,提高作物营养价值,综合施肥提高作物品质,营养谷物开发,科研机构与实用农业合作,农业、食品产业,农业技术推广中心,通过综合营养管理提高作物的营养成分。,食品科技网,https://www.foodtech.com/,2024-09-29,,,,
基因驱动育种,非常规育种,性状增强,植物,基因驱动技术,进行中,快速传播特定性状,引入基因驱动，提高遗传特征的选择性,快速作物改良,科研机构与农民合作,农业、食品产业,生物科技研究所,通过基因驱动技术，快速增加作物优良性状的传播。,农业前沿科技,https://www.agri-techfrontier.com/,2024-09-29,,,,
生物信息学育种,常规育种,性状分析,植物、动物,数据分析,进行中,优化育种选择,利用数据挖掘分析表型和基因组信息,精准农业,大学、企业合作,农业、信息技术,各大科研机构,应用生物信息学提高育种效率。,ScienceDirect,https://www.sciencedirect.com,2024-09-29,,,,
CRISPR-Cas9基因编辑,非常规育种,性状改良,植物、动物,基因剪切,进行中,特定基因敲除或插入,利用CRISPR技术改良作物性状,生物技术,研究机构、企业合作,生物科技产业,多家制药公司,使用CRISPR技术精确修改基因组特定区段。,Nature,https://www.nature.com,2024-09-29,,,,
转基因抗虫技术,非凡育种,性状改良,植物,转基因,进行中,提高抗虫能力,引入Bt基因提高转基因植物抗虫性能,作物保护,农业大学、企业合作,农业、食品产业,多家国际农业公司,通过基因工程引入抗虫基因，减少农药使用。,农业部官网,https://www.moa.gov.cn,2024-09-29,,,,
精准育种,新兴育种,性能优化,植物,表型预测,进行中,快速选择优良品种,结合环境数据和表型数据提高选择效率,可持续农业,学术界与产业界合作,农业科技,各大农业大学,使用精准数据支持决策和育种。,农业科技期刊,https://www.agtjournal.com,2024-09-29,,,,
高通量基因组育种,非常规育种,基因组改良,植物、动物,大规模基因组测序,进行中,筛选优质基因组,通过高通量测序技术分析基因组信息,基因组学,国际合作研究,生物技术,多所国际合作高校,利用高通量技术加速育种流程，以提高产量和抗逆性。,Genetics Society,https://www.genetics.org,2024-09-29,,,,
分子育种,常规育种,目标性状提升,植物,基因标记辅助,进行中,提高作物的特定性状,基于分子标记对个体进行选择和评估,自交植物育种,研究机构与农业企业,农业、食品产业,国家重点实验室,通过分子标记辅助选择，提高品种改良效率。,中国农业科学院,http://www.caas.cn,2024-09-29,,,,
实验室组培技术,非常规育种,繁殖效率提升,植物,无土栽培,进行中,强化繁殖能力,通过组织培养获得大量同质植株,园艺作物,高校研究所及企业,花卉、果树产业,各大农业科研院,通过组培技术实现植物的快速繁殖和优质培育。,园艺学期刊,https://www.hortscience.org,2024-09-29,,,,
系统育种,常规育种,综合改良,植物,多种育种技术结合,进行中,全面提高作物适应性,将多种育种方法结合，提高品种稳定性,多种作物,跨国农业联合研究,农业、食品产业,国际育种组织,结合多种技术，实现综合性育种目标。,农学研究论文,https://www.agronomy.org,2024-09-29,,,,
新型种质资源开发,常规育种,遗传改良,植物,野生种质挖掘,进行中,发掘高价值基因,挖掘和利用新型种质资源来提高基因多样性,遗传多样性保护,科研机构与野外考察合作,农业、生态产业,保护生物多样性研究所,通过野生资源开发，丰富农业基因库。,生态研究期刊,https://www.ecologicalapplications.org,2024-09-29,,,,
分子标记育种,非常规育种,性状筛选,植物,基因标记辅助选择,进行中,提高育种效率,利用DNA分子标记筛选所需性状的个体,作物育种,高校、科研机构合作,农业、生物科技产业,全国多所大学,通过分子标记技术加速优良基因的选择和传递。,知乎,https://www.zhihu.com/,2024-09-29,,,,
CRISPR基因编辑,非常规育种,性状改良,植物、动物,基因编辑技术,进行中,精准改良性状,利用CRISPR技术进行基因组的特定编辑,农作物、畜牧业,跨国企业、研究机构合作,生物科技产业,国际著名生物科技公司,基因编辑技术提供了精确可靠的新增性状的途径。,Nature,https://www.nature.com/,2024-09-29,,,,
基因驱动育种,非常规育种,性状快速传播,植物、动物,基因驱动技术,进行中,实现特定基因的快速扩散,使用基因驱动技术在种群中快速传播某一性状,生态保护、农作物,国际科研团队合作,农业、生物科技产业,各大国际研究中心,基因驱动技术能有效提高基因在后代中的传播率。,SCIENTIFIC AMERICAN,https://www.scientificamerican.com/,2024-09-29,,,,
